4.99083,7.05444	4.99083,7.05444

4.99083,7.05444	5.0131,7.0688
3	[-e]	4608
2	[s*gh]	21544
2	[s*l]	21530
2	[t*kp]	18973
2	[t*b]	18957
2	[r*nw]	13860
2	[h*y]	10246
2	[d*nw]	9252
2	[d*ny]	9232
2	[-ụ]	7168
2	[g*t]	6181
2	[i*ọ]	5653
2	[y*ny]	3088
2	[+h]	20
2	[+e]	9
1	[W*K]	32821
1	[ṅ*gh]	30760
1	[bh*kp]	29213
1	[p*h]	28180
1	[O*n]	24580
1	[kh*nw]	24100
1	[A*Ọ]	23078
1	[A*ọ]	23061
1	[gw*r]	22555
1	[s*nw]	21540
1	[s*gb]	21535
1	[s*b]	21517
1	[s*j]	21514
1	[ị*gb]	21023
1	[ị*a]	20997
1	[gh*th]	20547
1	[gh*nw]	20516
1	[t*zh]	19016
1	[t*p]	18999
1	[t*gw]	18988
1	[t*s]	18986
1	[t*kw]	18961
1	[-t]	18944
1	[f*s]	16426
1	[gb*Ny]	15952
1	[gb*kh]	15919
1	[gb*gw]	15916
1	[gb*l]	15898
1	[kp*b]	14861
1	[r*p]	13879
1	[r*m]	13849
1	[r*ch]	13847
1	[r*ny]	13840
1	[r*y]	13830
1	[l*ch]	13335
1	[m*l]	12826
1	[w*gh]	12328
1	[w*m]	12313
1	[w*ch]	12311
1	[w*b]	12301
1	[ch*s]	11818
1	[ch*f]	11808
1	[ch*sh]	11804
1	[ch*m]	11801
1	[E*i]	11275
1	[h*p]	10295
1	[h*kw]	10257
1	[h*ny]	10256
1	[k*s]	9770
1	[k*gh]	9768
1	[k*t]	9765
1	[k*l]	9754
1	[k*d]	9746
1	[k*j]	9738
1	[d*s]	9258
1	[d*f]	9248
1	[d*r]	9243
1	[kw*s]	8746
1	[kw*nw]	8740
1	[kw*gb]	8735
1	[kw*ch]	8727
1	[kw*h]	8724
1	[ny*Ny]	8272
1	[o*H]	7723
1	[-o]	7680
1	[ụ*gw]	7212
1	[ụ*e]	7177
1	[b*w]	6680
1	[b*kw]	6673
1	[g*s]	6186
1	[i*I]	5686
1	[i*ị]	5673
1	[i*w]	5656
1	[j*Nw]	5179
1	[j*m]	5145
1	[j*b]	5133
1	[e*ị]	4649
1	[e*n]	4612
1	[y*r]	3099
1	[y*ch]	3095
1	[a*è]	2652
1	[n*m]	2073
1	[n*o]	2063
1	[n*e]	2057
1	[+B]	85
1	[+nw]	36
1	[+N]	34
1	[+l]	26
1	[+ọ]	21
1	[+ny]	16
1	[+j]	10

4.99083,7.05444	5.0135,7.069
3	[-ụ]	7168
3	[+h]	20
2	[s*gh]	21544
2	[ị*i]	21003
2	[-ch]	11776
2	[-ọ]	10752
2	[h*y]	10246
2	[b*r]	6683
2	[-i]	5632
2	[j*ch]	5143
2	[e*ị]	4649
2	[e*n]	4612
2	[y*ny]	3088
2	[+s]	42
2	[+m]	25
2	[+ọ]	21
2	[+i]	11
1	[bhh*j]	39946
1	[W*K]	32821
1	[ṅ*n̄]	30781
1	[p*k]	28179
1	[I*!]	27649
1	[Ị*ọ]	25109
1	[O*n]	24580
1	[kh*ch]	24087
1	[A*Ị]	23089
1	[A*i]	23051
1	[gw*ny]	22544
1	[H*a]	22021
1	[s*gb]	21535
1	[s*h]	21524
1	[s*b]	21517
1	[s*j]	21514
1	[s*n]	21508
1	[ị*gb]	21023
1	[ị*a]	20997
1	[ị*n]	20996
1	[gh*th]	20547
1	[gh*h]	20500
1	[t*zh]	19016
1	[t*p]	18999
1	[t*gw]	18988
1	[t*s]	18986
1	[t*kp]	18973
1	[t*l]	18970
1	[t*w]	18968
1	[t*kw]	18961
1	[t*b]	18957
1	[nw*kw]	18449
1	[z*s]	17962
1	[z*b]	17933
1	[N*gb]	17439
1	[N*n]	17412
1	[f*W]	16448
1	[f*s]	16426
1	[gb*kw]	15889
1	[gb*b]	15885
1	[kp*t]	14885
1	[kp*ch]	14871
1	[kp*d]	14866
1	[r*t]	13861
1	[r*f]	13856
1	[r*m]	13849
1	[r*ch]	13847
1	[r*ny]	13840
1	[r*b]	13837
1	[-r]	13824
1	[l*t]	13349
1	[l*f]	13344
1	[l*e]	13321
1	[m*a]	12805
1	[w*s]	12330
1	[w*gh]	12328
1	[w*t]	12325
1	[w*ch]	12311
1	[w*i]	12299
1	[ch*s]	11818
1	[ch*sh]	11804
1	[ch*k]	11795
1	[ch*ny]	11792
1	[E*O]	11312
1	[E*i]	11275
1	[E*n]	11268
1	[ọ*A]	10797
1	[ọ*a]	10757
1	[h*p]	10295
1	[h*nw]	10276
1	[h*kw]	10257
1	[h*ny]	10256
1	[h*b]	10253
1	[k*s]	9770
1	[k*gh]	9768
1	[k*r]	9755
1	[k*l]	9754
1	[k*ch]	9751
1	[d*gb]	9247
1	[d*l]	9242
1	[d*w]	9240
1	[d*ch]	9239
1	[d*ụ]	9230
1	[d*b]	9229
1	[d*y]	9222
1	[kw*gw]	8748
1	[kw*s]	8746
1	[kw*nw]	8740
1	[kw*gb]	8735
1	[kw*h]	8724
1	[kw*k]	8723
1	[kw*g]	8716
1	[ny*r]	8219
1	[o*n]	7684
1	[-o]	7680
1	[ụ*à]	7266
1	[ụ*gw]	7212
1	[ụ*e]	7177
1	[b*kp]	6685
1	[b*ny]	6672
1	[b*e]	6665
1	[g*t]	6181
1	[g*kp]	6173
1	[g*r]	6171
1	[g*k]	6163
1	[i*I]	5686
1	[i*y]	5638
1	[j*kp]	5149
1	[j*sh]	5148
1	[j*m]	5145
1	[j*b]	5133
1	[j*n]	5124
1	[-e]	4608
1	[y*s]	3114
1	[y*l]	3098
1	[a*u]	2590
1	[n*N]	2082
1	[n*e]	2057
1	[.*Ọ]	1574
1	[!*E]	534
1	[+B]	85
1	[+nw]	36
1	[+kp]	29
1	[+r]	27
1	[+k]	19
1	[+ny]	16
1	[+j]	10

4.99083,7.05444	5.1335,7.0165
5	[ụ*ụ̀]	7268
5	[+à]	98
4	[e*è]	4700
3	[ọ*à]	10850
3	[-ọ]	10752
3	[+è]	92
3	[+a]	5
2	[ọ*ọ̀]	10846
2	[h*y]	10246
2	[i*ụ̀]	5732
2	[i*à]	5730
2	[-e]	4608
2	[a*à]	2658
2	[a*ā]	2637
2	[+ụ̀]	100
2	[+nw]	36
1	[bhh*j]	39946
1	[p*k]	28179
1	[I*ọ̀]	27742
1	[Ị*ọ]	25109
1	[O*è]	24668
1	[O*n]	24580
1	[s*gb]	21535
1	[s*n]	21508
1	[G*s]	20010
1	[t*zh]	19016
1	[nw*kw]	18449
1	[z*j]	17930
1	[f*s]	16426
1	[-f]	16384
