292	∂	1322100
293	ɱ	1412100
294	sh̀	1321100
295	 	0000000
296	Ẹ	2000133
297	ᴊ	1222100
298	ɲ	1442100
299	ɓ	1112100
300	tś	1221100
301	h̄	1352100
302	h́	1352100
303	;	0000000
304	kwh̃	1151200
305	₦	0000000
306	ḷ	1622100
307	β	1312100
308	ф	1311100
309	ı	2000131
310	rỳ	1522100
311	nẁ	1452200
312	ᴉ	2000131
313	ʧ	1221100
314	db	1122100
315	`	0000000
316	ẹ̀	2000133
317	́̃	0000000
318	[	0000000
319	ü	2000211
320	ẹ̄	2000133
321	gy	1242100
322	Ā	2000134
323	jȳ	1142100
324	ẹ́	2000133
325	ɱ̀	1412100
326	N̄	1422100
327	Phh	1311100
328	V	1312100
329	d́	1122100
330	ẃ	1632200
331	Z	1322100
332		0000000
333	~	0000000
334	Hw	1331200
335	Bhh	1312100
336	ɱ̄	1412100
337	ė	2000132
338	gb̀	1131100
339	ĥ	1352100
340	ts̀	1221100
341	'̀	0000000
342	gẁ	1152200
343	phw	1311200
344	͜	0000000
345	͡	0000000
346	Gr	1152100
347	Gy	1242100
348	dẁ	1122200
349	Ē	2000132
350	bhh̄	1312100
351	l̀	1622100
352	̄̀	0000000
353	nẃ	1452200
354	í̀	2000131
355	nȳ	1442100
356	b̄	1112100
357	-́	0000000
358	ɔ̀	2000213
359	tf	1211100
360	ì́	2000131
361	]	0000000
362	ạ̀	2000123
363	Ụ́	2000211
364	Ị̄	2000131
365	â	2000134
366	sh́	1321100
367	ẹ̃	2000133
368	Ẹ̄	2000133
369	Ẹ́	2000133
370	Ẹ̀	2000133
371	̀̀	0000000
372	ň	1422100
373	kṕ	1131100
374	ù̀	2000211
375	ò̄	2000212
376	lẃ	1622200
377	f́	1311100
378	kẃ	1151200
379	ź	1322100
380	á̀	2000134
381	ṅ́	1452100
382	Ḿ	1412100
383	Ī	2000131
384	ê	2000132
385	ph̄	1111100
386	z̀	1322100
387	nw̄	1452200
388	Dd	1122100
389	ạ̄	2000134
390	ɪ̀	2000131
391	_	0000000
392	bh̀	1312100
393	gh̀	1352100
394	ch́	1221100
395	ch̀	1221100
396	bhh̀	1312100
397	b̀	1112100
398	gw̄	1152200
399	ʒ	1322100
400	ӡ	1322100
401	Gg	1152100
402	‑	0000000
403	Β	1112100
404	ɾ	1522100
405	ʊ̀	2000211
406	gv	1252100
407	5̃	0000000
408	‟	0000000
409	̄̃	0000000
410	ʔ	1151100
411	Ù	2000211
412	'̄	0000000
413	ì̄	2000131
414	í́	2000131
415	ĺ	1622100
