4.99083,7.05444	4.99083,7.05444

4.99083,7.05444	5.0131,7.0688
1	[+ch]	23

5.72517,7.13325	5.0135,7.069
1	[à*I]	50230
1	[à*u]	50206
1	[ọ̀*!]	48129
1	[gh*gb]	20511
1	[nw*m]	18457
1	[w*gb]	12319
1	[w*h]	12308
1	[+g]	12

5.72517,7.13325	5.1335,7.0165
1	[gh*gb]	20511
1	[e*è]	4700

5.72517,7.13325	5.3999,7.0167
1	[hw*k]	58899
1	[à*ị]	50217
1	[gh*w]	20504
1	[n*j]	2058
1	[+à]	98

5.72517,7.13325	5.4244,7.1967
2	[ē*á]	65129
2	[è*u]	47134
2	[è*i]	47115
1	[ə*']	73736
1	[ị̄*i]	67083
1	[ọ̄*o]	66575
1	[ō*ị]	66089
1	[ụ̄*ụ̀]	60516
1	[ụ̄*ị]	60457
1	[ụ̄*kw]	60433
1	[hw*k]	58899
1	[m̀*ọ́]	57972
1	[ụ̀*u]	51230
1	[ụ̀*ọ]	51221
1	[ụ̀*ụ]	51214
1	[ǹ*i]	50699
1	[à*A]	50221
1	[à*ị]	50217
1	[à*ọ]	50197
1	[à*a]	50181
1	[ọ̀*ụ]	48142
1	[è*kw]	47121
1	[è*o]	47119
1	[è*a]	47109
1	[-è]	47104
1	[ā*u]	39454
1	[ṅ*g]	30732
1	[kh*s]	24106
1	[gw*m]	22553
1	[gw*w]	22552
1	[-s]	21504
1	[gh*w]	20504
1	[nw*r]	18459
1	[nw*k]	18451
1	[u*a]	15365
1	[kp*m]	14873
1	[r*b]	13837
1	[l*nw]	13348
1	[ọ*u]	10782
1	[h*j]	10250
1	[o*m̀]	7793
1	[o*ǹ]	7779
1	[ụ*ọ̀]	7262
1	[ụ*j]	7178
1	[i*à]	5730
1	[a*à]	2658
1	[a*ụ]	2574
1	[n*f]	2080
1	[n*j]	2058
1	[+ọ]	21

5.72517,7.13325	5.4543,7.0247
2	[è*i]	47115
2	[+ọ]	21
1	[ị̄*i]	67083
1	[ọ̄*o]	66575
1	[ō*ị]	66089
1	[ụ̄*kw]	60433
1	[ụ̀*ọ]	51221
1	[ǹ*i]	50699
1	[à*A]	50221
1	[à*ọ]	50197
1	[à*a]	50181
1	[ọ̀*ụ]	48142
1	[ọ̀*!]	48129
1	[è*u]	47134
1	[è*o]	47119
1	[è*a]	47109
1	[-è]	47104
1	[ā*u]	39454
1	[gh*w]	20504
1	[l*nw]	13348
1	[h*t]	10277
1	[o*e]	7689
1	[n*j]	2058
1	[+a]	5

5.72517,7.13325	5.4829,7.0337
1	[ụ̄*ụ̀]	60516
1	[ụ̄*ị]	60457
1	[-à]	50176
1	[è*ī]	47241
1	[ṅ*g]	30732
1	[gw*m]	22553
1	[s*sh]	21532
1	[-s]	21504
1	[t*n]	18948
1	[nw*r]	18459
1	[r*ṅ]	13884
1	[w*ny]	12304
1	[ọ*ụ̀]	10852
1	[ọ*ā]	10829
1	[h*r]	10267
1	[h*j]	10250
1	[kw*ì]	8801
1	[o*ò]	7799
1	[ụ*ị̄]	7299
1	[ụ*ì]	7265
1	[ụ*ṅ]	7228
1	[ụ*ị]	7209
1	[b*s]	6698
1	[e*ē]	4735
1	[e*d]	4626
1	[a*ị̄]	2691
1	[n*j]	2058
1	[+à]	98
1	[+è]	92
1	[+ā]	77
1	[+m]	25
1	[+ụ]	14

5.72517,7.13325	5.522,6.923
1	[ō*è]	66140
1	[è*ī]	47241
1	[ā*-]	39475
1	[gw*m]	22553
1	[t*n]	18948
1	[h*r]	10267
1	[h*w]	10264
1	[ụ*ị̄]	7299
1	[ụ*ị]	7209
1	[a*ị̀]	2695
1	[a*l]	2586
1	[n*j]	2058
1	[n*y]	2054
1	[+ụ̄]	118
1	[+ā]	77
1	[+t]	37
1	[+e]	9

5.72517,7.13325	5.5832,7.05
1	[ō*è]	66140
1	[à*ə]	50320
1	[à*a]	50181
1	[-à]	50176
1	[è*ī]	47241
1	[ā*-]	39475
1	[-ā]	39424
1	[gw*m]	22553
1	[s*sh]	21532
1	[t*n]	18948
1	[nw*r]	18459
1	[gb*d]	15890
1	[u*i]	15371
1	[kp*y]	14854
1	[w*nw]	12324
1	[w*ny]	12304
1	[ọ*ụ̀]	10852
1	[ọ*a]	10757
1	[h*r]	10267
1	[d*z]	9251
1	[d*kp]	9245
1	[kw*ì]	8801
1	[kw*g]	8716
1	[ụ*ị̄]	7299
1	[ụ*ị]	7209
1	[g*hw]	6259
1	[i*à]	5730
1	[i*o]	5647
1	[e*d]	4626
1	[a*ù]	2693
1	[a*ị̄]	2691
1	[a*l]	2586
1	[a*ọ]	2581
1	[n*j]	2058
1	[+è]	92
1	[+ā]	77

5.72517,7.13325	5.5834,7.05
2	[à*a]	50181
1	[ī*a]	70149
1	[r̃*y]	68614
1	[-ō]	66048
1	[ụ̄*ọ]	60437
1	[ụ̄*ụ]	60430
1	[-ụ̄]	60416
1	[à*ā]	50253
1	[-à]	50176
1	[ì*e]	49673
1	[ọ̀*ọ]	48149
1	[ọ̀*ụ]	48142
1	[è*ī]	47241
1	[è*e]	47113
1	[è*n]	47108
1	[ā*-]	39475
1	[ā*ọ]	39445
1	[ā*ụ]	39438
1	[-ā]	39424
1	[zh*z]	36899
1	[gw*m]	22553
1	[s*gb]	21535
1	[s*sh]	21532
1	[gh*z]	20515
1	[t*h]	18964
1	[z*nw]	17956
1	[z*g]	17932
1	[gb*d]	15890
1	[kp*y]	14854
1	[-sh]	14336
1	[m*s]	12842
1	[m*j]	12810
1	[w*è]	12380
1	[w*nw]	12324
1	[ọ*ị̄]	10883
1	[ọ*ụ̀]	10852
1	[h*r]	10267
1	[d*z]	9251
1	[d*kp]	9245
1	[kw*d]	8722
1	[kw*g]	8716
1	[ny*kp]	8221
1	[ụ*ị̄]	7299
1	[ụ*ị]	7209
1	[ụ*a]	7173
1	[b*ụ̀]	6756
1	[b*r]	6683
1	[-b]	6656
1	[g*hw]	6259
1	[i*à]	5730
1	[i*o]	5647
1	[e*kw]	4625
1	[a*ù]	2693
1	[a*m̀]	2673
1	[a*l]	2586
1	[a*ọ]	2581
1	[n*ā]	2125
1	[n*j]	2058
1	[+à]	98
1	[+è]	92

5.72517,7.13325	5.6027,7.322
1	[ọ̄*ọ̀]	66654
1	[ō*ū]	66180
1	[-ē]	65024
1	[ụ̀*ọ]	51221
1	[s*kp]	21533
1	[-s]	21504
1	[z*gh]	17960
1	[gb*kh]	15919
1	[gb*t]	15909
1	[u*m̄]	15496
1	[u*ù]	15493
1	[kp*m]	14873
1	[sh*j]	14346
1	[r*b]	13837
1	[l*nw]	13348
1	[l*d]	13330
1	[-l]	13312
1	[m*kh]	12847
1	[m*s]	12842
1	[m*t]	12837
1	[w*è]	12380
1	[w*g]	12300
1	[ch*kp]	11805
1	[ọ*ị̄]	10883
1	[ọ*ụ̀]	10852
1	[h*r]	10267
1	[d*kh]	9263
1	[kw*è]	8796
1	[ụ*à]	7266
1	[g*ch]	6167
1	[e*ē]	4735
1	[y*kp]	3101
1	[a*ù]	2693
1	[a*ụ]	2574
1	[n*ā]	2125
1	[n*f]	2080
1	[n*j]	2058
1	[+à]	98
1	[+ọ]	21

5.72517,7.13325	5.664,7.012
2	[-sh]	14336
2	[i*à]	5730
2	[e*è]	4700
1	[ī*ì]	70241
1	[r̃*y]	68614
1	[-ō]	66048
1	[ụ̄*ụ̀]	60516
1	[hw*bhh]	58958
1	[ụ̀*à]	51298
1	[-à]	50176
1	[ì*ry]	49774
1	[ọ̀*ọ]	48149
1	[ọ̀*ụ]	48142
1	[-ā]	39424
1	[zh*z]	36899
1	[s*ṅ]	21564
1	[t*h]	18964
1	[z*b]	17933
1	[kp*t]	14885
1	[m*s]	12842
1	[m*nw]	12836
1	[w*gh]	12328
1	[ọ*ē]	10879
1	[ọ*ǹ]	10851
1	[d*t]	9253
1	[d*z]	9251
1	[d*g]	9228
1	[kw*d]	8722
1	[o*ò]	7799
1	[ụ*ò]	7287
1	[ụ*ị]	7209
1	[ụ*a]	7173
1	[b*s]	6698
1	[b*kw]	6673
1	[g*hw]	6259
1	[i*ù]	5765
1	[j*r]	5147
1	[e*ù]	4741
1	[e*ò]	4727
1	[a*ù]	2693
1	[a*l]	2586
1	[n*g]	2060
1	[n*j]	2058
1	[+è]	92

5.72517,7.13325	5.70003,7.73332
6	[à*a]	50181
2	[à*ị]	50217
2	[ọ̀*ụ]	48142
2	[è*i]	47115
2	[ọ*ụ]	10766
1	[ə*O]	73776
1	[ī*e]	70153
1	[ū*a]	67589
1	[ō*k]	66067
1	[ē*o]	65039
1	[ò*ẹ]	61103
1	[ò*e]	60937
1	[ụ̄*o]	60431
1	[ụ̄*a]	60421
1	[m̀*m]	57881
1	[ụ̀*u]	51230
1	[ụ̀*a]	51205
1	[à*u]	50206
1	[à*ọ]	50197
1	[à*i]	50187
1	[ì*M]	49710
1	[ì*ụ]	49678
1	[ọ̀*s]	48170
1	[ọ̀*Ọ]	48166
1	[ọ̀*ọ]	48149
1	[ọ̀*o]	48143
1	[ọ̀*i]	48139
1	[è*Ọ]	47142
1	[è*a]	47109
1	[-è]	47104
1	[ā*o]	39439
1	[s*gb]	21535
1	[s*k]	21523
1	[gh*r]	20507
1	[z*b]	17933
1	[f*nw]	16420
1	[gb*l]	15898
1	[u*e]	15369
1	[kp*kh]	14895
1	[sh*s]	14378
1	[l*m]	13337
1	[m*bh]	12857
1	[m*kh]	12847
1	[m*s]	12842
1	[m*ọ]	12821
1	[m*g]	12812
1	[w*nw]	12324
1	[w*b]	12301
1	[ch*Nw]	11835
1	[ch*nw]	11812
1	[h*Ị]	10289
1	[k*f]	9760
1	[k*l]	9754
1	[y*kh]	3119
1	[y*s]	3114
1	[n*j]	2058
1	[+Ụ]	56
1	[+l]	26
1	[+m]	25
1	[+o]	15
1	[+b]	13
1	[+i]	11

5.72517,7.13325	5.71795,7.08217
2	[+a]	5
1	[ū*ò]	67703
1	[ụ̀*à]	51298
1	[à*ụ̄]	50294
1	[-ì]	49664
1	[ọ̀*ọ]	48149
1	[z*b]	17933
1	[m*nw]	12836
1	[ọ*ǹ]	10851
1	[h*z]	10275
1	[k*n]	9732
1	[ụ*ọ]	7189
1	[g*hw]	6259
1	[i*ù]	5765
1	[j*r]	5147
1	[e*ù]	4741
1	[e*ò]	4727
1	[a*ù]	2693
1	[a*gw]	2604
1	[n*j]	2058

5.72517,7.13325	5.72517,7.13325

5.72517,7.13325	5.783,6.8667
2	[s*t]	21541
2	[+e]	9
1	[lw*gb]	71199
1	[ī*ē]	70271
1	[m̄*a]	69637
1	[r̃*y]	68614
1	[ù*u]	68126
1	[ọ̄*ì]	66657
1	[ọ̄*ụ]	66574
1	[ō*o]	66063
1	[-ō]	66048
1	[hw*bhh]	58958
1	[hw*f]	58912
1	[-à]	50176
1	[ọ̀*e]	48137
1	[th*r]	34331
1	[s*g]	21516
1	[nw*k]	18451
1	[z*b]	17933
1	[sh*l]	14362
1	[w*l]	12314
1	[ọ*ē]	10879
1	[h*f]	10272
1	[d*z]	9251
1	[d*j]	9226
1	[b*kw]	6673
1	[i*à]	5730
1	[j*r]	5147
1	[e*o]	4623
1	[a*ù]	2693
1	[a*nw]	2596
1	[a*l]	2586
1	[n*j]	2058
1	[+v]	73
1	[+t]	37
1	[+k]	19
1	[+kw]	17

5.72517,7.13325	5.80897,7.06093
1	[hw*gh]	58920
1	[m*kh]	12847
1	[m*nw]	12836
1	[ọ*à]	10850
1	[h*w]	10264
1	[g*sh]	6172
1	[g*b]	6157
1	[i*o]	5647
1	[e*ā]	4685
1	[a*ù]	2693
1	[a*ọ̀]	2654
1	[a*gw]	2604
1	[+gw]	44
1	[+u]	30
1	[+n]	4

5.72517,7.13325	5.85389,6.86
1	[lw*gb]	71199
1	[r̃*sh]	68636
1	[ọ̄*á]	66665
1	[ō*o]	66063
1	[hw*bhh]	58958
1	[ọ̀*o]	48143
1	[th*r]	34331
1	[s*t]	21541
1	[s*g]	21516
1	[nw*k]	18451
1	[nw*n]	18436
1	[z*b]	17933
1	[u*i]	15371
1	[r*n]	13828
1	[h*f]	10272
1	[d*z]	9251
1	[d*j]	9226
1	[i*à]	5730
1	[a*ā]	2637
1	[a*k]	2579
1	[a*ụ]	2574
1	[n*j]	2058

5.72517,7.13325	5.85916,7.00299
1	[m̄*a]	69637
1	[hw*bhh]	58958
1	[ọ̀*à]	48226
1	[s*l]	21530
1	[nw*k]	18451
1	[z*b]	17933
1	[r*n]	13828
1	[m*kh]	12847
1	[m*nw]	12836
1	[w*l]	12314
1	[ọ*ā]	10829
1	[h*bhh]	10318
1	[d*z]	9251
1	[d*j]	9226
1	[i*à]	5730
1	[a*ù]	2693
1	[a*nw]	2596
1	[a*l]	2586
1	[n*j]	2058
1	[+e]	9

5.72517,7.13325	5.9332,7.0834
1	[ǹ*ụ̀]	50788
1	[e*ā]	4685
1	[n*j]	2058
1	[+ọ̀]	94

5.72517,7.13325	5.95007,7.11665
1	[f*hw]	16499

5.72517,7.13325	5.97889,7.09399
1	[ǹ*n]	50692
1	[e*ā]	4685
1	[+e]	9

5.72517,7.13325	5.9963,6.925
1	[hw*bhh]	58958
1	[ọ̀*à]	48226
1	[s*g]	21516
1	[ị*ū]	21124
1	[nw*k]	18451
1	[z*gw]	17964
1	[r*n]	13828
1	[ọ*ụ]	10766
1	[h*nw]	10276
1	[h*f]	10272
1	[h*l]	10266
1	[d*j]	9226
1	[g*z]	6179
1	[-g]	6144
1	[i*à]	5730
1	[e*u]	4638
1	[a*ù]	2693
1	[n*j]	2058
1	[+bhh]	78
1	[+i]	11
1	[+e]	9

5.72517,7.13325	6.0038,6.9155
1	[z*y]	17926
1	[h*f]	10272
1	[h*l]	10266
1	[d*j]	9226
1	[ụ*i]	7179
1	[+bhh]	78
1	[+sh]	28
1	[+n]	4

5.72517,7.13325	6.01667,7.08333
1	[e*ā]	4685

5.72517,7.13325	6.01671,6.91664
1	[z*y]	17926
1	[-h]	10240
1	[d*j]	9226

5.72517,7.13325	6.0168,7.0834
1	[e*ā]	4685

5.72517,7.13325	6.01735,6.9134
1	[z*y]	17926
1	[-h]	10240
1	[d*j]	9226

5.72517,7.13325	6.05,7.58333
3	[à*a]	50181
2	[r*m]	13849
2	[l*n]	13316
2	[h*gw]	10284
1	[gɦ*gw]	95788
1	[ə*O]	73776
1	[ī*o]	70159
1	[ị̀*A]	69165
1	[ị̀*u]	69150
1	[r̃*gw]	68652
1	[ō*i]	66059
1	[ē*ō]	65153
1	[ò*e]	60937
1	[ụ̄*ò]	60535
1	[ụ̄*a]	60421
1	[hw*b]	58893
1	[ụ̀*ọ]	51221
1	[à*ọ̄]	50306
1	[à*ǹ]	50275
1	[à*ọ̀]	50270
1	[à*Ọ]	50214
1	[ọ̀*à]	48226
1	[è*ò]	47223
1	[è*o]	47119
1	[ā*ọ]	39445
1	[ā*ụ]	39438
1	[ā*i]	39435
1	[zh*z]	36899
1	[th*gw]	34348
1	[ṅ*t]	30757
1	[ṅ*d]	30738
1	[s*gb]	21535
1	[s*sh]	21532
1	[s*w]	21528
1	[s*g]	21516
1	[-s]	21504
1	[t*h]	18964
1	[nw*l]	18458
1	[z*g]	17932
1	[f*s]	16426
1	[f*k]	16403
1	[gb*kw]	15889
1	[u*ē]	15487
1	[u*ā]	15437
1	[kp*m]	14873
1	[sh*j]	14346
1	[r*gw]	13868
1	[r*sh]	13852
1	[r*l]	13850
1	[r*b]	13837
1	[r*n]	13828
1	[-r]	13824
1	[l*t]	13349
1	[l*w]	13336
1	[l*k]	13331
1	[l*d]	13330
1	[w*Y]	12321
1	[w*y]	12294
1	[ọ*ị̀]	10887
1	[ọ*à]	10850
1	[ọ*a]	10757
1	[h*Ị]	10289
1	[h*gb]	10271
1	[h*sh]	10268
1	[k*m]	9753
1	[d*k]	9235
1	[kw*z]	8739
1	[kw*l]	8730
1	[kw*h]	8724
1	[ny*m]	8217
1	[ụ*à]	7266
1	[ụ*v]	7241
1	[ụ*o]	7183
1	[-ụ]	7168
1	[b*gb]	6687
1	[b*m]	6681
1	[g*gw]	6188
1	[g*n]	6148
1	[-g]	6144
1	[i*ù]	5765
1	[i*ā]	5709
1	[j*y]	5126
1	[e*ē]	4735
1	[e*-]	4659
1	[a*ù]	2693
1	[a*ị]	2601
1	[n*è]	2140
1	[n*ā]	2125
1	[n*z]	2083
1	[n*l]	2074
1	[n*ọ]	2069
1	[n*k]	2067
1	[n*j]	2058
1	[n*a]	2053
1	[+ị̀]	135
1	[+ū]	132
1	[+ị̄]	131
1	[+ụ̀]	100
1	[+s]	42
1	[+ị]	41
1	[+w]	24
1	[+a]	5

5.72517,7.13325	6.05314,6.86476
1	[-h]	10240
1	[d*j]	9226

5.72517,7.13325	6.06667,7.01667
1	[e*ā]	4685
1	[n*ā]	2125

5.72517,7.13325	6.08333,7
1	[m̄*y]	69638
1	[à*o]	50191

5.72517,7.13325	6.08333,7.01667

5.72517,7.13325	6.08624,6.99556
1	[z*y]	17926
1	[d*j]	9226
1	[e*o]	4623
1	[,*w]	1048

5.72517,7.13325	6.1038,6.8834
1	[d*j]	9226
1	[+j]	10

5.72517,7.13325	6.1094,6.88615
1	[ē*u]	65054
1	[ǹ*o]	50703
1	[à*ụ]	50190
1	[ì*ị]	49705
1	[ọ̀*h]	48148
1	[è*u]	47134
1	[è*m]	47129
1	[d*j]	9226
1	[+ị]	41

5.72517,7.13325	6.1124,6.7738
2	[+k]	19
1	[-ǹ]	50688
1	[ị*e]	21001
1	[w*f]	12320
1	[j*sh]	5148
1	[n*à]	2146
1	[+phh]	255
1	[+ǹ]	99
1	[+ā]	77
1	[+i]	11

5.72517,7.13325	6.1124,6.7739
1	[-h]	10240
1	[d*j]	9226

5.72517,7.13325	6.11667,7.06667
1	[e*ā]	4685

5.72517,7.13325	6.1334,7.3667

5.72517,7.13325	6.1429,6.8914
1	[ọ̀*I]	48182
1	[d*j]	9226

5.72517,7.13325	6.145,7.469
2	[à*ị]	50217
2	[à*a]	50181
2	[+ị]	41
1	[ə*O]	73776
1	[ī*o]	70159
1	[ị̀*A]	69165
1	[r̃*gw]	68652
1	[ē*u]	65054
1	[ò*e]	60937
1	[ụ̄*ọ]	60437
1	[ụ̄*a]	60421
1	[hw*b]	58893
1	[m̀*e]	57865
1	[ụ̀*ụ]	51214
1	[ǹ*I]	50742
1	[à*A]	50221
1	[à*Ọ]	50214
1	[à*u]	50206
1	[à*ụ]	50190
1	[ọ̀*-]	48179
1	[ọ̀*ụ]	48142
1	[ā*ọ]	39445
1	[ā*b]	39437
1	[ā*e]	39433
1	[ā*a]	39429
1	[th*k]	34323
1	[s*gb]	21535
1	[nw*ny]	18448
1	[r*sh]	13852
1	[r*l]	13850
1	[l*E]	13334
1	[l*k]	13331
1	[l*d]	13330
1	[w*gy]	12609
1	[-ọ]	10752
1	[d*w]	9240
1	[kw*b]	8717
1	[ụ*a]	7173
1	[g*gh]	6184
1	[i*u]	5662
1	[e*a]	4613
1	[n*d]	2066
1	[n*j]	2058
1	[+w]	24
1	[+E]	22
1	[+b]	13

5.72517,7.13325	6.157,7.0311

5.72517,7.13325	6.1665,6.7833
1	[-h]	10240
1	[d*j]	9226

5.72517,7.13325	6.16667,7.01667

5.72517,7.13325	6.16855,7.4515
1	[ə*O]	73776
1	[ị̀*A]	69165
1	[ū*ụ]	67598
1	[à*Ọ]	50214
1	[è*t]	47141
1	[ā*ò]	39543
1	[ā*a]	39429
1	[l*w]	13336
1	[h*e]	10249
1	[-a]	2560
1	[+à]	98
1	[+w]	24

5.72517,7.13325	6.1831,6.6336
1	[-h]	10240
1	[e*é]	4699
1	[+l]	26
1	[+b]	13

5.72517,7.13325	6.1832,6.9834

5.72517,7.13325	6.187,7.072
1	[e*ā]	4685

5.72517,7.13325	6.19721,6.9697
1	[ǹ*o]	50703
1	[ọ̀*I]	48182
1	[d*j]	9226

5.72517,7.13325	6.1982,7.0668
1	[ǹ*o]	50703
1	[d*j]	9226
1	[e*ā]	4685

5.72517,7.13325	6.2065,7.0679
1	[ǹ*o]	50703
1	[è*ị]	47145
1	[g*m]	6169
1	[,*5]	1237

5.72517,7.13325	6.22242,6.93223
1	[ǹ*o]	50703
1	[d*j]	9226

5.72517,7.13325	6.23032,7.06492
1	[ǹ*o]	50703
1	[ọ̀*ụ̀]	48228
1	[d*j]	9226

5.72517,7.13325	6.2328,6.6478
1	[-h]	10240

5.72517,7.13325	6.2687,7.0405
1	[+bhh]	78
1	[+s]	42

5.72517,7.13325	6.26889,7.04225
1	[ǹ*o]	50703
1	[d*j]	9226

5.72517,7.13325	6.276,7.005
1	[m̄*ụ̀]	69732
1	[d*j]	9226

5.72517,7.13325	6.2871,7.0432
1	[m̀*Ọ]	57894
1	[ǹ*o]	50703
1	[à*O]	50224
1	[ọ̀*d]	48146
1	[è*Ị]	47153
1	[d*j]	9226

5.72517,7.13325	6.311,6.908
1	[ǹ*o]	50703
1	[è*1]	47228
1	[d*j]	9226

5.72517,7.13325	6.3739,6.8134
1	[d*j]	9226

5.72517,7.13325	6.3823,6.8088
1	[d*j]	9226

5.72517,7.13325	6.3857,6.8229
1	[o*ó]	7776
1	[a*ә]	2688

5.783,6.8667	4.99083,7.05444
1	[l*sh]	13340
1	[w*ụ]	12302
1	[b*j]	6666
1	[+gb]	31

5.783,6.8667	5.0131,7.0688
1	[ọ̀*!]	48129
1	[l*sh]	13340
1	[w*gb]	12319
1	[b*nw]	6692
1	[+ch]	23

5.783,6.8667	5.0135,7.069
1	[à*I]	50230
1	[à*u]	50206
1	[ọ̀*!]	48129
1	[f*h]	16404
1	[l*sh]	13340
1	[w*gb]	12319

5.783,6.8667	5.1335,7.0165
1	[f*h]	16404
1	[l*sh]	13340

5.783,6.8667	5.3999,7.0167
1	[bhh*k]	39955
1	[f*h]	16404
1	[l*sh]	13340
1	[-e]	4608

5.783,6.8667	5.4244,7.1967
2	[è*i]	47115
1	[ị̄*i]	67083
1	[ē*á]	65129
1	[ụ̄*ị]	60457
1	[ụ̄*kw]	60433
1	[m̀*ọ́]	57972
1	[ǹ*i]	50699
1	[à*ọ]	50197
1	[à*a]	50181
1	[ì*o]	49679
1	[ọ̀*ụ]	48142
1	[-è]	47104
1	[bhh*k]	39955
1	[-ā]	39424
1	[t*u]	18974
1	[nw*r]	18459
1	[f*h]	16404
1	[l*sh]	13340
1	[o*ǹ]	7779
1	[e*j]	4618
1	[-e]	4608
1	[n*l]	2074
1	[+í]	151
1	[+ị]	41
1	[+ọ]	21

5.783,6.8667	5.4543,7.0247
2	[è*i]	47115
1	[ị̄*i]	67083
1	[ụ̄*kw]	60433
1	[ǹ*i]	50699
1	[à*ọ]	50197
1	[à*a]	50181
1	[ì*o]	49679
1	[ọ̀*ụ]	48142
1	[ọ̀*!]	48129
1	[-è]	47104
1	[-ā]	39424
1	[t*u]	18974
1	[l*sh]	13340
1	[e*a]	4613
1	[n*ụ]	2062
1	[+ị]	41
1	[+ọ]	21

5.783,6.8667	5.4829,7.0337
2	[l*sh]	13340
1	[ị̀*à]	69218
1	[-ị̀]	69120
1	[ē*ī]	65161
1	[ụ̄*ị]	60457
1	[-ụ̀]	51200
1	[ì*ọ̄]	49794
1	[bhh*hw]	40051
1	[ā*i]	39435
1	[p*l]	28186
1	[t*s]	18986
1	[-t]	18944
1	[nw*r]	18459
1	[f*h]	16404
1	[l*w]	13336
1	[l*g]	13324
1	[m*gb]	12831
1	[-ọ]	10752
1	[kw*ì]	8801
1	[kw*f]	8736
1	[b*t]	6693
1	[g*k]	6163
1	[e*d]	4626
1	[-e]	4608
1	[a*ị̄]	2691
1	[a*ụ̄]	2678
1	[n*ọ]	2069
1	[n*ụ]	2062
1	[+j]	10

5.783,6.8667	5.522,6.923
1	[ị̀*à]	69218
1	[à*ọ]	50197
1	[ì*ọ̄]	49794
1	[bhh*hw]	40051
1	[ā*i]	39435
1	[ị*a]	20997
1	[z*d]	17938
1	[f*h]	16404
1	[l*sh]	13340
1	[l*w]	13336
1	[l*g]	13324
1	[m*kp]	12829
1	[b*gb]	6687
1	[g*k]	6163
1	[-a]	2560
1	[n*ọ]	2069
1	[n*y]	2054
1	[+è]	92
1	[+h]	20

5.783,6.8667	5.5832,7.05
2	[l*sh]	13340
1	[ị̀*à]	69218
1	[-ị̀]	69120
1	[ē*ī]	65161
1	[-à]	50176
1	[ì*ọ̄]	49794
1	[ọ̀*m̄]	48264
1	[è*o]	47119
1	[bhh*hw]	40051
1	[v*ə]	37520
1	[p*l]	28186
1	[ị*a]	20997
1	[t*hw]	19059
1	[t*s]	18986
1	[nw*kp]	18461
1	[nw*r]	18459
1	[f*hw]	16499
1	[f*h]	16404
1	[r*th]	13891
1	[l*t]	13349
1	[l*kp]	13341
1	[l*w]	13336
1	[l*g]	13324
1	[-ọ]	10752
1	[-k]	9728
1	[d*ò]	9335
1	[d*r]	9243
1	[kw*ì]	8801
1	[kw*f]	8736
1	[kw*k]	8723
1	[-kw]	8704
1	[ụ*ū]	7300
1	[g*k]	6163
1	[i*o]	5647
1	[j*kp]	5149
1	[e*d]	4626
1	[e*o]	4623
1	[-e]	4608
1	[a*m̄]	2696
1	[a*ị̄]	2691
1	[-a]	2560
1	[n*à]	2146
1	[+è]	92
1	[+b]	13
1	[+j]	10

5.783,6.8667	5.5834,7.05
3	[-e]	4608
2	[à*a]	50181
2	[ị*a]	20997
2	[t*s]	18986
2	[l*sh]	13340
2	[kw*d]	8722
2	[i*o]	5647
2	[-a]	2560
1	[ị̀*à]	69218
1	[ị̀*ị]	69161
1	[ị̀*kp]	69149
1	[ù*u]	68126
1	[ị̄*ọ]	67093
1	[ē*ī]	65161
1	[ē*ọ]	65045
1	[ụ̄*a]	60421
1	[m̀*A]	57901
1	[ụ̀*ọ]	51221
1	[à*u]	50206
1	[ì*ī]	49801
1	[ì*ọ̄]	49794
1	[ọ̀*m̄]	48264
1	[ọ̀*ọ]	48149
1	[è*o]	47119
1	[è*e]	47113
1	[bhh*hw]	40051
1	[-v]	37376
1	[p*ch]	28183
1	[s*gb]	21535
1	[t*h]	18964
1	[t*d]	18962
1	[-t]	18944
1	[nw*kp]	18461
1	[nw*a]	18437
1	[f*hw]	16499
1	[f*h]	16404
1	[gb*lw]	16011
1	[gb*m]	15897
1	[u*ù]	15493
1	[r*th]	13891
1	[l*kwh]	13364
1	[l*t]	13349
1	[l*kp]	13341
1	[l*w]	13336
1	[l*g]	13324
1	[-l]	13312
1	[m*w]	12824
1	[w*sh]	12316
1	[ch*k]	11795
1	[ch*g]	11788
1	[-ọ]	10752
1	[-h]	10240
1	[k*nw]	9764
1	[k*Y]	9761
1	[-k]	9728
1	[d*ò]	9335
1	[d*z]	9251
1	[d*r]	9243
1	[kw*s]	8746
1	[kw*f]	8736
1	[kw*h]	8724
1	[kw*k]	8723
1	[-kw]	8704
1	[ny*kp]	8221
1	[o*ō]	7809
1	[o*è]	7772
1	[ụ*ọ̄]	7298
1	[b*nw]	6692
1	[g*s]	6186
1	[g*k]	6163
1	[j*kp]	5149
1	[j*k]	5139
1	[e*ọ]	4629
1	[e*o]	4623
1	[y*j]	3082
1	[a*m̄]	2696
1	[a*ọ̀]	2654
1	[a*ā]	2637
1	[a*ọ]	2581
1	[n*à]	2146
1	[n*u]	2078
1	[+ē]	127
1	[+sh]	28
1	[+b]	13
1	[+j]	10

5.783,6.8667	5.6027,7.322
2	[t*s]	18986
1	[ị̀*ị]	69161
1	[ì*ọ̄]	49794
1	[bhh*hw]	40051
1	[-v]	37376
1	[-t]	18944
1	[nw*a]	18437
1	[z*d]	17938
1	[f*h]	16404
1	[gb*lw]	16011
