Coordinates:	CZ
14	k%t%e%r%é%
14	h%o%š%i%
14	d%á%m%e%
14	Z%
14	S%
14	R%o%s%a%v%i%
14	P%o%
14	O%p%r%a%v%d%u%
14	M%á%m%
14	A%ž%
13	ť%i%ch%o%
13	ň%e%j%a%k%é%
13	ň%e%j%a%k%
13	Ň%i%c%
13	ď%i%v%
13	č%a%j%
13	Č%e%r%ň%í%
13	z%n%o%v%u%
13	v%í%c%
13	v%z%a%l%
13	v%o%l%a%l%i%
13	s%l%o%v%a%
13	r%á%n%o%
13	p%ř%i%p%o%m%í%n%a%l%
13	p%r%o%č%
13	p%o%ř%á%d%k%u%
13	p%o%l%e%d%n%e%
13	p%a%n%t%á%t%a%
13	o%z%v%a%l%o%
13	o%n%
13	n%á%š%
13	n%a%j%e%d%n%ou%
13	m%a%m%i%n%k%a%
13	h%l%á%s%i%l%
13	h%l%a%v%u%
13	d%o%c%e%l%a%
13	b%i%s%
13	T%a%m%
13	K%d%e%p%a%k%
13	K%a%ž%d%í%
13	J%o%ž%k%o%
13	I%
13	E%m%i%l%
13	Ch%v%í%l%i%
12	ň%e%m%
12	v%o%z%í%k%
12	u%k%l%i%d%ň%o%v%a%l%
12	t%a%
12	s%v%é%h%o%
12	n%o%c%i%
12	n%e%m%o%h%l%
12	n%e%b%u%d%e%
12	n%a%v%r%h%l%
12	n%a%p%a%d%l%o%
12	m%á%t%e%
12	m%u%s%í%m%
12	m%l%é%k%o%
12	m%i%s%l%í%š%
12	l%e%k%l%
12	k%t%e%r%á%
12	k%o%ž%i%ch%
12	j%e%d%n%ou%
12	h%l%a%v%ou%
12	h%l%a%s%e%m%
12	d%r%u%h%é%h%o%
12	d%n%e%
12	d%a%l%
12	b%r%á%ň%i%l%
12	b%e%z%
12	Z%a%ť%í%m%
12	V%i%
12	T%ř%e%b%a%
12	S%n%a%d%
12	N%á%p%l%a%v%a%
12	K%o%l%i%k%
12	H%á%j%e%k%
11	Ž%e%
11	v%ž%d%i%c%k%i%
11	v%i%ď%e%t%
11	v%a%ř%i%t%
11	u%ď%e%l%a%t%
11	u%ď%e%l%a%l%
11	t%e%b%e%
11	s%t%a%n%ů%
11	s%k%a%u%ť%i%
11	r%o%z%h%l%é%d%l%
11	p%ů%l%
11	p%r%ou%ť%í%
11	p%r%o%t%o%
11	p%r%a%ch%m%i%l%i%o%ň%i%
11	p%o%ď%í%v%a%t%
11	p%o%z%o%r%
11	p%o%m%a%l%u%
11	o%h%e%ň%
11	o%b%r%á%ť%i%l%
11	n%o%
11	n%e%v%í%m%
11	m%ň%e%
11	m%í%s%t%o%
11	m%n%ou%
11	j%i%s%ť%e%
11	h%r%n%c%e%
11	d%r%u%h%é%
11	d%o%b%r%é%
11	V%l%k%i%
11	P%o%j%e%d%n%ou%
11	M%i%r%k%e%m%
11	D%o%
10	Ť%i%
10	z%ů%s%t%a%t%
10	z%í%t%r%a%
10	v%ů%b%e%c%
10	v%z%p%o%m%ň%e%l%
10	v%j%e%c%i%
10	v%i%ď%e%l%
10	v%e%s%e%l%e%
10	t%ř%i%
10	t%á%b%o%ř%e%
10	t%á%b%o%r%á%k%
10	s%t%a%l%o%
10	s%p%á%t%
10	r%a%ď%e%j%i%
10	r%a%d%o%s%t%
10	p%ř%i%p%o%m%ň%e%l%
10	p%u%s%ť%i%l%i%
10	p%o%j%e%d%n%ou%
10	p%a%n%t%á%t%o%
10	p%a%n%
10	o%č%í%
10	o%p%a%t%r%ň%e%
10	o%k%o%l%o%
10	n%a%d%š%e%ň%e%
10	m%e%z%i%
10	m%a%j%í%
10	k%á%v%u%
10	k%t%e%ř%í%
10	k%o%n%e%v%
10	j%í%
10	j%i%n%é%h%o%
10	h%o%ď%i%n%i%
10	d%á%m%
10	d%r%u%h%í%
10	d%o%s%t%a%l%
10	d%o%s%t%
