Coordinates:	5.3999,7.0167
1.01946	ị̀%b%ụ̀%ọ%
1.01843	j%à%-%à%kp%ọ%
1.01741	ā%n%ọ̄%
1.0169	ò%p%ì%l%à%
1.0169	a%k%à%r%à%
1.01536	ì%k%e%ǹ%g%à%
1.01229	ọ̀%gb%à%r%à%
1.01229	ọ%r%ị̀%
1.01229	p%a%l%i%e%
1.01024	k%a%d%ù%m̀%
1.01024	a%w%ọ̄%
1.00922	d%u%m̀%
1.00922	ā%jɦ%ị̄%
1.00922	a%jɦ%ị%
1.00922	a%f%ọ̀%
1.00819	à%kp%ọ%g%o%d%o%ch%a%a%
1.00819	o%j%i%ī%
1.00819	m%ọ̄%ọ̄%
1.00819	m%kp%ụ%r%ụ̀%
1.00819	a%ny%ị̀%
1.00768	à%kp%à%k%ù%r%ù%
1.00768	m%p%à%
1.00614	ū%kw%ū%
1.00614	o%w%e%l%ē%
1.00614	n%g%ị%r%ị%n%g%a%
1.00614	m%kp%ị%sh%ị%
1.00614	m%kp%ō%
1.00512	ọ%p%à%t%à%
1.00512	o%kp%o%k%o%r%o%
1.00512	ā%ch%ā%
1.00512	a%k%ụ%r̃%ụ̄%
1.0041	n%u%m%a%r̃%a%
1.0041	n%j%ì%n%u%
1.0041	m%m%ā%d%ụ̀%
1.0041	a%k%ụ̀%k%ụ̀%
1.00307	è%nw%e%h%ụ̄%
1.00307	à%dɦ%à%
1.00307	nw%a%
1.00205	à%kp%ụ%kp%ụ%
1.00205	n%nw%a%
1.00205	k%ọ%r%ọ%
1.00102	à%kp%ị%r%ị̄%
1.00102	ō%
1.00102	ǹ%d%e%è%w%o%
1.00102	i%k%è%r̃%è%
1.00102	a%kh%a%
1	ụ̀%v%ụ%r%ụ̀%
1	ụ̀%ch%a%
1	ụ%z%ọ̀%
1	ụ%r%ā%
1	ụ%kw%ụ%ụ%ə%
1	ụ%kw%ụ%ụ%
1	ụ%k%à%
1	ọ̄%s%ọ̄%
1	ọ̀%w%à%
1	ọ̀%w%a%ọ̀%w%à%
1	ọ̀%w%a%
1	ọ̀%p%à%
1	ọ̀%n%ọ%h%ụ̀%
1	ọ̀%kp%ụ%ò%r%ì%m̀%
1	ọ̀%kh%à%r%à%
1	ọ̀%gb%a%n̄%j%ē%
1	ọ̀%d%ị%d%à%r%à%ə%
1	ọ̀%d%ị%d%à%r%a%
1	ọ̀%bɦ%à%r%à%
1	ọ%ụ%kp%ụ%
1	ọ%ọ̄%kw%à%
1	ọ%ọ̄%kw%ā%
1	ọ%ọ̀%kw%à%
1	ọ%ṭ%ụ̀%
1	ọ%z%ọ̀%g%ì%d%è%r%è%
1	ọ%s%ọ%
1	ọ%r̃%ụ%
1	ọ%n%ụ%
1	ọ%n%à%-%
1	ọ%m%a%
1	ọ%kw%a%
1	ọ%j%ọ%ọ̄%
