Coordinates:	5.3999,7.0167
1	t%e%ch%a%r%a%
1	t%e%ch%a%n%u%
1	t%e%ch%a%
1	t%e%
1	t%a%p%a%
1	t%a%m%p%ị%a%m%
1	t%a%j%a%
1	t%a%gb%u%o%
1	t%a%b%o%b%o%m%
1	t%a%a%r%a%
1	sh%ụ%
1	sh%ị%ị%
1	sh%ị%kw%a%n%ụ%
1	sh%ị%kw%a%
1	sh%í%r%í%
1	sh%í%
1	sh%ì%t%è%r%è%
1	sh%ì%t%è%
1	sh%ì%l%è%
1	sh%ì%kw%è%
1	sh%ì%kw%à%
1	sh%è%kw%è%n%ù%
1	sh%u%
1	sh%i%y%e%e%
1	sh%i%y%a%
1	sh%i%n%e%
1	sh%i%m%e%kw%e%
1	sh%i%m%
1	sh%i%gh%u%
1	sh%i%gh%e%
1	sh%i%dz%i%e%
1	sh%i%ch%a%kw%a%n%i%
1	sh%i%a%l%a%
1	sh%e%p%ụ%t%a%
1	sh%e%h%e%n%u%
1	s%ụ%m%a%r%a%-%
1	s%ọ%ọ%s%ọ%
1	s%ù%r%ù%
1	s%ò%r%ò%l%à%
1	s%í%t%é%
1	s%í%s%í%
1	s%ì%r%ì%
1	s%à%r%à%
1	s%à%
1	s%o%kw%a%n%ụ%
1	s%o%k%e%h%e%r%e%
1	s%i%t%e%
1	s%e%r%v%e%'%'%
1	s%e%r%v%e%
1	s%a%i%n%ts%
1	s%a%i%n%t%a%
1	r%ụ%ọ%
1	r%ụ%r%ụ%
1	r%ụ%h%a%n%a%n%ụ%
1	r%ụ%gh%ị%
1	r%ụ%
1	r%ọ%p%ụ%t%a%
1	r%ị́%ọ̀%
1	r%ị%ọ%r%ọ%
1	r%ị%ọ%
1	r%ị%r%ị%r%ị%r%ị%
1	r%ị%r%ị%r%ị%
1	r%ị%n%e%n%u%
1	r%ị%m%m%a%
1	r%ị%kw%a%r%a%
1	r%ị%k%o%
1	r%ị%gh%a%r%a%
1	r%ị%-%a%a%
1	r%í%é%w%é%
1	r%í%s%à%à%
1	r%í%ch%á%á%
1	r%í%
1	r%ì%
1	r%u%t%e%n%ụ%n%e%
1	r%u%t%e%h%e%
1	r%u%o%n%n%e%n%ụ%
1	r%u%o%l%a%
1	r%u%n%e%n%ụ%
1	r%u%h%a%kw%a%n%ụ%
1	r%i%m%e%
1	r%i%j%u%n%a%n%ụ%
1	r%i%gh%i%-%r%i%gh%i%
1	r%i%g%o%r%o%
1	r%i%g%i%d%e%
1	r%i%g%e%
1	r%i%a%g%a%
1	r%a%n%ụ%
1	r%a%m%a%
1	r%a%h%a%m%a%
1	r%a%h%a%-%
1	r%a%
1	p̀%t%ù%
1	p%ụ%ọ%n%a%n%ụ%
1	p%ụ%ọ%l%a%n%ụ%
1	p%ụ%t%a%w%o%r%o%
1	p%ụ%t%a%r%a%n%ụ%
1	p%ụ%t%a%r%a%n%ị%
1	p%ụ%t%a%m%a%
1	p%ụ%t%a%kw%a%r%a%n%i%
1	p%ụ%m%a%r%a%
1	p%ị%r%a%k%a%-%
1	p%ị%a%r%a%k%a%t%a%m%p%ị%a%m%
1	p%í%ò%
1	p%ì%à%
1	p%à%r%à%kw%à%
1	p%à%r%à%ch%à%à%
1	p%à%f%ú%t%à%
1	p%à%d%ọ̀%ọ̀%
1	p%u%o%l%a%n%ụ%
1	p%i%g%e%o%n%
1	p%i%a%
1	p%a%u%l%i%n%a%
1	p%a%p%a%
1	o%z%u%r%u%
1	o%z%u%gh%i%
1	o%y%è%
1	o%y%i%y%e%
1	o%y%i%
1	o%w%u%
1	o%t%o%l%o%
1	o%t%o%ch%a%n%a%
1	o%t%k%o%r%i%
1	o%t%e%
1	o%sh%ị%
1	o%sh%ì%
1	o%sh%o%
1	o%sh%i%r%i%h%ụ%
1	o%sh%i%kw%e%n%ụ%
1	o%sh%i%kw%e%
1	o%r%ị%
1	o%r%i%t%e%ch%a%
1	o%r%i%e%o%g%u%g%u%
1	o%r%i%e%d%e%
1	o%nw%u%nw%a%
1	o%nw%e%h%u%
1	o%nw%a%
1	o%n%è%
1	o%n%u%m%a%r%a%
1	o%n%o%dz%o%e%l%e%
1	o%n%o%d%u%
1	o%n%e%
1	o%m%e%n%à%l%à%
1	o%m%e%n%a%l%a%
1	o%m%a%
1	o%l%è%
1	o%l%u%l%u%
1	o%l%o%o%
1	o%l%e%e%o%t%u%
1	o%l%e%e%kw%e%n%ụ%
1	o%l%a%kw%ọ̀%
1	o%kw%u%kw%e%
1	o%kw%u%gh%e%
1	o%kp%ụ%kp%ụ%
1	o%kp%o%t%a%b%e%
1	o%kp%o%sh%i%n%t%ị%h%u%
1	o%kp%o%sh%i%
1	o%kp%o%r%o%
1	o%kp%o%o%
1	o%kp%o%k%o%r%o%
1	o%k%ì%y%ì%
1	o%k%u%l%e%
1	o%k%o%r%o%b%ị%a%
1	o%k%o%r%o%b%i%a%
1	o%k%o%r%o%
1	o%k%i%b%i%r%i%
1	o%k%e%r%e%
1	o%k%e%m%gb%e%
1	o%j%i%r%i%
1	o%j%i%i%
1	o%j%i%
1	o%j%e%ch%a%
1	o%h%u%h%u%
1	o%h%i%à%
1	o%h%i%a%
1	o%h%e%
1	o%gw%u%gw%u%
1	o%gb%u%u%
1	o%f%u%
1	o%dz%i%w%e%r%e%
1	o%d%u%e%dz%i%
1	o%ch%e%t%e%r%e%n%ụ%
1	o%b%o%m%a%
1	o%b%i%ọ%m%a%
1	o%b%i%o%m%a%
1	o%b%i%j%o%
1	n̄%ụ́%ọ̄%
1	n̄%è%j%ì%
1	n̄%u%o%ch%à%à%
1	ń%s%ō%
1	ń%r%í%
1	ń%kw%à%
1	ń%k%è%
1	ń%d%è%
1	ń%d%ē%
1	ǹ%ì%
1	ǹ%t%ụ̀%r%ụ̀%kp%à%
1	ǹ%t%ú%r%ú%
1	ǹ%t%ì%t%à%
1	ǹ%t%à%r%à%m%à%h%ú%h%ú%
1	ǹ%s%ì%
1	ǹ%n%ù%n%ū%
1	ǹ%n%ù%n%n%ù%
1	ǹ%n%ù%kw%ù%
1	ǹ%n%ù%
1	ǹ%n%è%kw%ù%
1	ǹ%n%à%m%
1	ǹ%kw%ú%
1	ǹ%k%é%
1	ǹ%k%ẽ%
1	ǹ%gw%ọ̀%
1	ǹ%g%i%g%a%
1	ǹ%d%ị̀%
1	ǹ%d%ị%
1	ǹ%d%ṅ%è%
1	ǹ%d%í%í%ch%í%é%
1	ǹ%d%ì̀%
1	ǹ%d%ì%gh%ị̀%
1	ǹ%d%ì%g%ì%
1	ǹ%d%é%é%w%ō%
1	ǹ%d%e%
1	ǹ%ch%ú%
1	ny%ụ%ọ%
1	ny%ị%
1	ny%é%
1	ny%è%ch%à%kw%à%n%ù%
1	ny%è%
1	ny%à%j%ì%
1	ny%i%gh%a%
1	ny%e%t%ụ%n%ụ%
1	ny%e%f%e%e%
1	ny%e%
1	ny%a%r%a%
1	ny%a%a%
1	nw%ụ́%ọ̄%
1	nw%ụ́%b%é%gh%ì%
1	nw%ụ̀%ọ%l%à%
1	nw%ụ%ọ%l%a%
1	nw%ụ%sh%i%a%
1	nw%ụ%
1	nw%ọ%
1	nw%ú%r%ú%
1	nw%ù%r%ù%
1	nw%ó%k%ó%
1	nw%é%kw%é%r%é%
1	nw%é%kw%à%r%à%
1	nw%è%t%è%
1	nw%è%r%è%kw%è%
1	nw%è%r%è%kw%a%r%a%
1	nw%è%n%ù%
1	nw%è%kw%è%n%ù%
1	nw%è%kw%à%r%à%
1	nw%á%á%ny%ì%
1	nw%á%ny%í%
1	nw%à%nw%à%
1	nw%w%a%
1	nw%u%y%e%
1	nw%u%t%e%
1	nw%u%n%n%e%
1	nw%u%
1	nw%n%a%y%ị%
1	nw%e%y%e%
1	nw%e%w%o%h%u%
1	nw%e%t%e%r%e%
1	nw%e%t%a%ch%a%
1	nw%e%r%e%kw%e%n%ụ%
1	nw%e%n%ụ%
1	nw%e%kw%e%n%u%
1	nw%e%kw%a%n%ụ%
1	nw%e%kw%a%n%a%
1	nw%e%h%e%
1	nw%e%-%e%b%e%l%e%a%k%ụ%
1	nw%a%y%ny%i%
1	nw%a%t%a%k%i%r%i%
1	nw%a%t%a%k%a%r%i%
1	nw%a%r%a%
1	nw%a%o%k%o%r%o%b%i%a%
1	nw%a%o%k%e%
1	nw%a%ny%ọ%ọ%
1	nw%a%n%ị%
1	nw%a%m%
1	nw%a%k%e%l%u%
1	nw%a%h%e%
1	nw%a%gb%a%r%a%
1	nw%a%e%b%e%l%e%a%k%ụ%i%ny%u%
1	nw%a%a%y%ọ%ọ%
1	nw%a%a%g%ụ%
1	nw%a%-%nw%a%e%b%e%l%e%a%k%ụ%
1	nw%
1	n%ụ̀%ch%à%à%
1	n%ụ%ọ%
1	n%ụ%w%a%
1	n%ụ%r%ụ%
1	n%ụ%n%ụ%
1	n%ụ%kw%a%n%ụ%
1	n%ụ%j%ụ%ch%a%
1	n%ụ%g%a%
1	n%ọ̀%ị̀%
1	n%ọ̀%ì%
1	n%ọ̀%kw%à%n%ì%
1	n%ọ̀%d%ọ̀%ch%à%à%
1	n%ọ̀%ch%à%à%
1	n%ọ%r%ọ%kw%a%
1	n%ọ%kw%a%r%a%
1	n%ọ%kw%a%n%i%
1	n%ọ%g%i%d%e%
1	n%ọ%ch%i%r%i%n%ụ%
1	n%ọ%ch%a%
1	n%ị̀%
1	n%ị%m%ị%
1	n%ú%
1	n%í%n%í%
1	n%í%m%è%
1	n%ì%ì%sh%ì%ch%à%à%
1	n%ì%n%ì%
1	n%ì%h%ì%
1	n%è%j%í%
1	n%á%kw%á%n%ù%
1	n%á%-%á%s%ì%
1	n%á%-%
1	n%à%n%ì%
1	n%à%kp%ọ̀%
1	n%à%gw%ụ̀%
1	n%à%-%é%j%ì%
1	n%à%-%á%r%í%à%r%ì%
1	n%à%-%á%kp%ọ%
1	n%à%-%á%g%ụ̀%
1	n%à%-%à%l%à%gh%à%ch%i%t%e%
1	n%à%-%à%l%à%
1	n%à%-%à%kp%ọ̀%r%ọ̀%
1	n%à%-%à%kp%ò%
1	n%à%-%à%g%à%r%ì%r%ì%
1	n%à%-%ā%g%à%
1	n%à%-%a%s%ị̀%
1	n%z%e%
1	n%u%n%u%
1	n%u%kw%a%n%ụ%
1	n%u%f%u%r%u%
1	n%u%d%u%m%
1	n%t%ụ%kw%a%sh%a%
1	n%t%ụ%kw%a%s%i%
1	n%t%ị%ị%r%ọ%
1	n%t%ị%r%ọ%
1	n%t%u%r%u%
1	n%t%a%m%u%
1	n%t%a%k%ị%r%ị%
1	n%s%ọ%
1	n%s%o%p%u%r%u%
1	n%r%i%a%r%a%
1	n%o%dz%i%ch%a%a%n%ụ%
1	n%nw%
1	n%n%ụ%n%ụ%
1	n%n%ụ%
1	n%n%è%
1	n%n%u%s%u%m%
1	n%n%u%j%i%
1	n%n%o%
1	n%n%e%kw%e%n%ụ%
1	n%kw%o%m%kw%o%
1	n%kw%o%kw%o%
1	n%kw%a%d%o%
1	n%kw%a%
1	n%kp%ọ%
1	n%k%ọ%r%ọ%
1	n%k%ị%t%ị%
1	n%k%ị%t%a%
1	n%k%ị%k%a%r%ị%
1	n%k%e%l%u%m%ụ%
1	n%k%e%a%
1	n%j%ọ%
1	n%j%i%k%e%
1	n%j%e%d%e%-%
1	n%i%n%ì%
1	n%i%n%e%
1	n%i%l%e%n%i%
1	n%i%h%i%
1	n%i%gh%i%
1	n%i%-%i%j%e%
1	n%h%ụ%n%a%
1	n%h%ụ%
1	n%h%e%
1	n%g%ị%
1	n%g%u%
1	n%g%n%a%
1	n%g%i%
1	n%g%e%
1	n%g%a%j%i%
1	n%g%a%a%
1	n%e%w%r%e%
1	n%e%h%e%
1	n%e%d%
1	n%e%ch%i%
1	n%e%-%nw%e%
1	n%e%-%e%m%e%kw%e%n%ụ%
1	n%e%-%e%m%e%
1	n%dd%e%w%o%
1	n%d%ụ%r%ụ%
1	n%d%ụ%m%ọ%
1	n%d%ì%é%
1	n%d%ì%è%
1	n%d%u%m%
1	n%d%i%a%
1	n%d%e%h%ụ%
1	n%d%e%h%u%
1	n%ch%e%
1	n%ch%a%r%i%
1	n%a%w%a%ny%i%
1	n%a%t%a%r%a%
1	n%a%t%a%
1	n%a%r%i%
1	n%a%r%a%n%i%
1	n%a%nw%a%r%a%
1	n%a%n%i%
1	n%a%m%a%
1	n%a%kw%a%n%ụ%
1	n%a%kw%a%n%i%gh%i%
1	n%a%k%e%
1	n%a%h%ụ%
1	n%a%h%a%kw%a%
1	n%a%gh%ị%
1	n%a%gh%i%
1	n%a%b%a%t%a%r%a%
1	n%a%b%a%t%a%kw%a%
1	n%a%'%e%dz%i%
1	n%a%'%a%r%ụ%r%a%a%l%a%
1	n%-%e%j%ì%
1	n%-%a%k%a%
1	ḿ%m%ì%ì%
1	ḿ%m%ì%r%ì%
1	ḿ%b%ú%
1	m̀%p%ò%t%ù%
1	m̀%m%í%r%ì%
1	m̀%m%ì%m%ì%
1	m̀%m%á%n%ụ̀%
1	m̀%m%á%d%ụ̀%
1	m̀%m%à%ì%
1	m̀%m%à%n%ụ̀%
1	m̀%m%a%n%ù%
1	m̀%kp%ọ̀%
1	m̀%kp%ú%r%ú%
1	m̀%kp%ù%r%ù%
1	m̀%kp%ù%kp%ù%
1	m̀%kp%ù%
1	m̀%j%ì%r%ì%
1	m̀%gb%ọ̀%
1	m̀%gb%à%l%ì%é%l%ù%
1	m̀%gb%ē%
1	m̀%b%ù%s%ù%
1	m̀%b%ì%d%ò%s%ù%
1	m̀%b%u%s%ì%
1	m%ụ́%
1	m%ụ̀%t%à%kw%à%r%à%
1	m%ụ̀%s%à%ch%a%
1	m%ụ̀%r%ụ̀%
1	m%ụ̀%kw%à%n%à%
1	m%ụ̀%kw%à%
1	m%ụ̀%
1	m%ụ%w%à%
1	m%ụ%t%à%
1	m%ụ%t%a%r%a%
1	m%ụ%t%a%kw%à%
1	m%ụ%o%o%
1	m%ụ%m%a%
1	m%ụ%kw%a%r%a%n%ụ%
1	m%ụ%ch%a%kw%a%r%a%n%ụ%
1	m%ụ%b%à%l%à%
1	m%ọ%
1	m%ị%r%a%
1	m%ị%p%ụ%r%ụ%
1	m%ị%p%ụ%
1	m%ị%l%a%
1	m%ị%gh%a%
1	m%ú%t%à%r%à%
1	m%ú%
1	m%ù%ò%
1	m%ù%s%à%ch%a%
1	m%ì%
1	m%é%é%
1	m%é%r%ụ́%ọ̄%
1	m%é%l%é%
1	m%è%k%ọ̀%t%à%l%à%
1	m%è%gh%è%
1	m%á%
1	m%à%à%
1	m%à%r%à%kw%à%
1	m%à%n%ù%m%
1	m%à%l%í%t%é%r%è%
1	m%à%kw%ù%w%à%
1	m%à%kp%ù%r%à%
1	m%à%k%ù%r%ù%
1	m%à%g%ì%d%è%
1	m%à%ch%à%à%
1	m%w%e%t%e%
1	m%u%t%a%kw%à%r%à%
1	m%u%t%a%kw%a%n%à%
1	m%u%t%a%kw%a%n%i%
1	m%u%t%a%kw%a%
1	m%u%t%a%ch%a%kw%a%n%a%
1	m%u%o%
1	m%u%k%a%s%i%a%ch%a%
1	m%u%a%r%à%
1	m%p%a%r%a%
1	m%o%n%t%u%r%i%
1	m%m̀%
1	m%m%ụ%y%a%
1	m%m%ị%p%ụ%
1	m%m%ì%ì%
1	m%m%ì%m%ì%
1	m%m%m%m%m%
1	m%m%m%a%
1	m%m%i%r%i%n%ụ%
1	m%m%i%i%
1	m%m%e%gw%ụ%
1	m%m%e%
1	m%m%a%ị%
1	m%m%a%n%ụ%h%ụ%
1	m%m%a%d%ù%
1	m%m%a%d%u%n%e%m%e%
1	m%kp%ụ%r%ụ%-%
1	m%kp%ụ%
1	m%kp%ọ%gh%a%r%a%
1	m%kp%u%t%u%
1	m%kp%u%r%u%a%l%a%
1	m%kp%u%r%
1	m%kp%o%k%i%r%i%
1	m%kp%ā%
1	m%j%e%
1	m%i%g%a%r%a%
1	m%i%e%n%e%
1	m%gb%ọ%
1	m%gb%a%j%i%
1	m%gb%a%h%e%e%l%u%
1	m%gb%a%-%
1	m%gb%
1	m%e%w%e%r%e%
1	m%e%t%ụ%t%a%r%a%
1	m%e%t%ụ%ch%a%r%a%
1	m%e%t%e%r%e%
1	m%e%t%a%r%a%
1	m%e%sh%i%e%
1	m%e%r%u%
1	m%e%r%n%ụ%
1	m%e%r%e%n%i%
1	m%e%m%i%e%n%e%
1	m%e%m%e%
1	m%e%l%a%
1	m%e%kw%e%r%e%n%ụ%r%ụ%
1	m%e%kw%e%r%e%n%ụ%
1	m%e%kw%e%r%e%n%u%
1	m%e%kw%e%
1	m%e%gh%e%
1	m%e%g%i%d%e%r%e%
1	m%e%f%ù%t%à%r%à%
1	m%e%f%u%r%u%
1	m%e%e%l%e%
1	m%e%dz%i%ch%a%
1	m%e%dz%i%
1	m%e%ch%i%e%
1	m%e%ch%a%n%a%n%ụ%
1	m%e%ch%a%a%
1	m%e%ch%a%
1	m%e%a%n%'%
1	m%b%ọ%
1	m%b%ù%
1	m%b%i%d%o%
1	m%a%w%o%h%e%
1	m%a%t%a%kw%a%n%ì%
1	m%a%t%a%
1	m%a%s%s%
1	m%a%r%a%n%a%n%ụ%
1	m%a%r%a%l%a%
1	m%a%r%a%ch%a%kw%a%n%ụ%
1	m%a%r%a%ch%a%
1	m%a%n%ụ%
1	m%a%n%u%
1	m%a%n%a%n%ụ%
1	m%a%n%a%n%a%
1	m%a%m%ị%
1	m%a%m%a%ị%w%ọ%t%a%
1	m%a%l%i%t%e%
1	m%a%kw%a%n%u%sh%i%
1	m%a%kw%a%
1	m%a%k%a%r%i%a%
1	m%a%gh%ị%
1	m%a%ch%a%r%a%
1	m%a%a%t%u%
1	m%a%a%r%a%
1	m%a%a%k%a%
1	m%a%-%a%sh%ị%
1	m%a%-%a%gw%a%
1	m%H%m%
1	l%ụ%t%a%
1	l%ụ%kw%a%n%ụ%
1	l%ụ%g%a%
1	l%ọ%ọ%
1	l%ọ%r%ọ%
1	l%ọ%m%a%
1	l%ù%p%ì%à%
1	l%ò%kw%à%
1	l%ì%t%ì%
1	l%è%w%è%
1	l%è%
1	l%á%
1	l%à%à%
1	l%u%r%u%
1	l%u%m%
1	l%u%b%a%t%a%
1	l%e%kw%e%l%e%
1	l%e%kw%e%
1	l%e%j%i%
1	l%e%gh%a%r%i%a%
1	l%e%e%kw%e%l%e%
1	l%e%e%kw%a%n%u%
1	l%a%w%o%r%o%
1	l%a%w%a%
1	l%a%r%u%r%u%
1	l%a%r%o%
1	l%a%n%ụ%
1	l%a%m%a%n%ụ%
1	l%a%m%a%n%u%
1	l%a%kw%u%r%u%
1	l%a%kw%u%j%e%
1	l%a%kw%a%
1	l%a%j%e%kw%e%n%ụ%
1	l%a%gh%a%ch%i%h%u%
1	l%a%gb%ọ̀%
1	l%a%a%r%o%l%e%
1	l%a%a%n%ụ%
1	kẁ%
1	kw%ụ%gh%a%sh%ị%sh%a%
1	kw%ụ%g%e%n%u%
1	kw%ọ%r%ọ%n%ụ%
1	kw%ọ%h%ụ%
1	kw%ọ%-%
1	kw%ú%w%é%
1	kw%ú%r%ú%
1	kw%ú%r%ù%
1	kw%ù%s%ì%
1	kw%é%n%ú%
1	kw%é%
1	kw%è%n%ì%
1	kw%á%n%ù%
1	kw%à%sh%à%r%à%
1	kw%à%l%à%
1	kw%u%w%e%m%
1	kw%u%w%e%
1	kw%u%m%e%n%ụ%
1	kw%u%kw%e%n%ụ%
1	kw%u%gh%a%sh%i%sh%a%
1	kw%u%ch%a%
1	kw%o%f%e%
1	kw%o%
1	kw%e%w%n%u%
1	kw%e%sh%ị%r%ị%
1	kw%e%sh%i%r%i%-%
1	kw%e%sh%i%r%i%
1	kw%e%n%ì%
1	kw%e%n%i%sh%i%
1	kw%e%l%e%m%
1	kw%e%l%e%
1	kw%a%n%i%gh%i%
1	kw%a%n%a%
1	kw%a%m%m%a%
1	kw%a%gh%i%
1	kw%a%gb%u%o%
1	kw%a%a%
1	kw%
1	kp%ụ̀%ọ̀%
1	kp%ụ%r%ụ%
1	kp%ụ%f%u%t%a%
1	kp%ọ̄%
1	kp%ọ̀%ọ̀%
1	kp%ọ̀%w%à%
1	kp%ọ̀%r%ọ̀%
1	kp%ọ̀%kw%à%l%à%
1	kp%ọ%ọ%
1	kp%ọ%z%i%e%
1	kp%ọ%t%a%r%a%
1	kp%ọ%t%a%l%ị%
1	kp%ọ%t%a%h%a%
1	kp%ọ%t%a%
1	kp%ọ%r%ọ%n%ụ%
1	kp%ọ%r%ọ%kw%a%n%ụ%
1	kp%ọ%p%ụ%t%a%
1	kp%ọ%n%ụ%
1	kp%ọ%n%ị%
1	kp%ọ%kw%a%n%ụ%
1	kp%ọ%kw%a%l%i%
1	kp%ọ%kp%ụ%t%a%r%a%
1	kp%ọ%k%ọ%
1	kp%ọ%gh%a%ch%i%t%e%
1	kp%ọ%gh%a%
1	kp%ọ%g%a%
1	kp%ọ%b%à%t%à%
1	kp%ị%ọ%r%ọ%
1	kp%ị%t%a%
1	kp%ị%gh%a%
1	kp%ù%r%ù%l%è%
1	kp%ù%r%ù%
1	kp%ù%ch%à%l%à%
1	kp%ó%w%á%ch%á%
1	kp%ò%f%ù%t%à%
1	kp%è%
1	kp%à%r%ì%
1	kp%u%y%e%
1	kp%u%ny%e%
1	kp%u%d%o%
1	kp%u%ch%i%e%
1	kp%u%
1	kp%o%o%
1	kp%o%f%u%t%a%
1	kp%a%m%a%n%u%
1	k%ụ%w%a%r%a%
1	k%ụ%r%ụ%
1	k%ụ%gh%u%r%u%
1	k%ụ%gb%u%o%
1	k%ụ%dz%i%r%i%e%
1	k%ụ%dz%i%e%r%e%
1	k%ọ̀%w%à%t%ụ̀%kw%ù%l%e%m%
1	k%ọ̀%w%à%t%ù%r%ù%kw%ù%l%è%m%
1	k%ọ̀%w%à%r%à%
1	k%ọ̀%
1	k%ọ%ọ%
1	k%ọ%w%a%r%a%
1	k%ọ%w%a%n%a%
1	k%ọ%t%ọ%r%ọ%
1	k%ọ%t%u%kw%a%r%a%
1	k%ọ%t%a%r%a%
1	k%ọ%r%ọ%m%
1	k%ọ%r%ọ%l%a%
1	k%ọ%r%a%r%a%
1	k%ọ%n%ụ%n%ụ%
1	k%ọ%n%a%
1	k%ọ%m%a%n%ụ%
1	k%ọ%l%a%
1	k%ọ%kw%a%r%a%
1	k%ọ%gb%a%r%a%
1	k%ọ%g%a%
1	k%ọ%ch%a%a%r%a%
1	k%ọ%ch%a%-%
1	k%ọ%ch%a%
1	k%ọ%
1	k%ị%t%ị%p%ụ%
1	k%ị%-%k%ị%-%k%ị%-%k%ị%-%k%ị%-%k%ị%-%k%ị%
1	k%ị%-%k%ị%-%k%ị%-%d%ị%
1	k%ú%t%é%
1	k%ù%ò%
1	k%ò%w%è%
1	k%ò%w%à%y%ụ̀%r%ụ̀%
1	k%ò%m%í%gh%à%
1	k%é%l%é%
1	k%à%ch%à%à%
1	k%u%t%e%sh%ị%
1	k%u%r%u%sh%i%a%
1	k%u%r%u%kw%e%n%u%
1	k%u%n%u%
1	k%u%m%a%
1	k%u%gb%u%u%
1	k%u%g%a%r%a%
1	k%u%f%o%o%
1	k%u%d%e%r%e%
1	k%o%r%u%r%u%
1	k%o%m%a%
1	k%i%t%a%
1	k%e%w%a%s%a%ch%a%
1	k%e%sh%i%sh%a%
1	k%e%n%e%r%e%
1	k%e%m̀%b%à%
1	k%e%m%gb%e%
1	k%e%h%u%
1	k%a%w%a%r%a%r%a%r%a%
1	k%a%r%a%
1	k%a%m%a%kw%a%n%ụ%
1	k%a%m%
1	k%a%kw%a%n%ụ%
1	k%a%kw%a%
1	k%a%kp%a%r%a%r%a%a%
1	k%a%h%a%
1	k%a%gh%a%r%ị%h%a%
1	k%a%gh%a%
1	k%a%ch%a%
1	k%a%-%
1	k%
1	j̀%ì%
1	j%ụ%ọ%
1	j%ụ%w%a%
1	j%ụ%n%a%
1	j%ụ%m%a%n%ụ%
1	j%ụ%kw%a%n%a%
1	j%ụ%ch%a%
1	j%ọ%k%a%r%i%ch%a%r%a%
1	j%ọ%gb%u%r%u%
1	j%ì%è%
1	j%ì%ch%à%
1	j%è%r%è%
1	j%i%sh%i%
1	j%i%r%
1	j%i%n%ụ%
1	j%i%kw%e%n%ụ%
1	j%i%k%o%t%a%r%a%
1	j%i%k%e%r%e%
1	j%i%k%e%ch%a%
1	j%i%h%ụ%
1	j%i%h%e%
1	j%ē%
1	j%e%r%u%o%n%n%e%n%ụ%
1	j%e%r%u%o%l%e%
1	j%e%r%u%o%
1	j%e%n%u%n%e%
1	j%e%m%e%n%u%
1	j%e%m%e%kw%e%n%u%
1	j%e%m%e%kw%e%-%
1	j%e%l%e%
1	j%e%kw%e%r%e%
1	j%e%kw%e%n%ụ%
1	j%e%kw%e%
1	j%e%kw%a%n%ụ%
1	j%e%e%kw%u%n%u%
1	j%e%e%-%e%r%i%e%
1	j%e%d%u%
1	j%e%-%a%b%a%
1	j%a%m%
1	j%a%a%
1	i%w%è%
1	i%w%e%w%
1	i%t%ū%
1	i%t%i%
1	i%t%a%
1	i%sh%ị%
1	i%sh%ì%
1	i%sh%i%i%
1	i%sh%e%
1	i%s%o%
1	i%s%i%à%l%à%
1	i%s%a%
1	i%r%a%
1	i%p%e%
1	i%p%a%r%a%
1	i%n̄%ù%
1	i%n̄%u%
1	i%ny%e%
1	i%nw%e%
1	i%n%ọ%
1	i%n%e%
1	i%n%a%
1	i%m%i%
1	i%m%a%r%a%l%a%
1	i%m%a%n%ụ%n%a%
1	i%l%u%k%ọ%t%a%
1	i%l%e%r%u%
1	i%l%e%l%e%
1	i%l%e%
1	i%l%a%w%a%
1	i%kw%ọ̀%
1	i%kw%a%
1	i%kp%ụ%
1	i%kp%ọ%r%ọ%
1	i%kp%è%
1	i%kp%ū%w%è%
1	i%kp%ū%
1	i%kp%u%
1	i%kp%e%a%z%ụ%
1	i%k%ọ%w%a%
1	i%k%o%w%a%
1	i%k%i%
1	i%h%ụ%n%a%
1	i%h%ụ%
1	i%h%u%m%ā%
1	i%h%e%k%e%
1	i%gh%ọ%t%a%
1	i%gh%o%t%a%r%a%
1	i%gb%e%
1	i%gb%a%t%a%
1	i%gb%a%r%a%
1	i%gb%a%gh%a%
1	i%gb%a%
1	i%g%u%
1	i%g%i%
1	i%f%ọ%
1	i%f%o%r%o%
1	i%e%
1	i%d%i%t%a%
1	i%d%e%ch%e%
1	i%d%a%ch%a%
1	i%ch%ọ̄%
1	i%ch%i%w%a%
1	i%ch%i%e%
1	i%ch%e%t%à%
1	i%ch%e%t%e%
1	i%b%è%
1	i%b%u%
1	i%b%i%
1	i%b%e%r%e%
1	i%a%h%i%
1	h%ụ́%
1	h%ụ%z%i%e%
1	h%ụ%t%ụ%r%ụ%
1	h%ụ%t%a%
1	h%ụ%sh%ị%r%ị%
1	h%ụ%r%ị%r%ị%
1	h%ụ%kw%a%r%a%n%ụ%
1	h%ụ%d%u%
1	h%ụ%ch%a%
1	h%ọ́%p%ụ̄%t%à%
1	h%ọ̀%ch%à%ch%à%r%à%
1	h%ù%r%ù%
1	h%í%ọ̀%
1	h%ì%ò%
1	h%á%f%ú%
1	h%à%w%à%
1	h%u%u%
1	h%u%n%a%
1	h%u%e%
1	h%o%r%o%
1	h%o%gh%a%r%ị%a%
1	h%o%
1	h%i%h%i%
1	h%e%k%e%r%e%
1	h%e%h%u%
1	h%e%-%e%gb%u%u%
1	h%a%z%i%e%
1	h%a%sh%i%
1	h%a%r%u%r%u%
1	h%a%p%ụ%kw%a%r%a%n%i%
1	h%a%n%g%a%r%a%
1	h%a%m%
1	h%a%k%a%
1	h%a%a%kw%a%n%ụ%
1	h%a%-%e%l%e%w%o%
