5.3999,7.0167	5.3999,7.0167

5.3999,7.0167	5.4244,7.1967
8	[è*e]	13831
7	[ā*a]	2060
6	[-à]	7168
5	[ụ̀*ụ]	7704
5	[à*a]	7180
4	[ọ̄*ọ]	14871
3	[ù*u]	21554
3	[ị̄*i]	17413
2	[hw*w]	26640
2	[ī*ì]	26131
2	[ē*e]	22023
2	[k*n]	11272
2	[ụ̄*ụ]	8728
2	[ụ̄*ì]	8723
2	[g*kw]	5150
1	[gh*gw]	36927
1	[r̃*r]	34853
1	[-s]	33792
1	[ṭ*r]	33317
1	[v*ụ]	32792
1	[ò*á]	31823
1	[-ò]	31744
1	[-p]	30720
1	[kh*b]	28700
1	[ə*ì]	27667
1	[ō*']	27145
1	[ī*i]	26117
1	[-ī]	26112
1	[gb*p]	25148
1	[ū*E]	24665
1	[ū*e]	24583
1	[m̀*ọ́]	24141
1	[ch*g]	23562
1	[-ch]	23552
1	[nw*m]	22548
1	[nw*g]	22538
1	[-nw]	22528
1	[ē*É]	22097
1	[ē*ọ̀]	22047
1	[ē*i]	22021
1	[-l]	20480
1	[ị̀*i]	19461
1	[r*sh]	18989
1	[ny*kw]	18462
1	[ị̄*ị]	17419
1	[m̄*?]	16462
1	[-m̄]	16384
1	[ọ̀*ọ]	15895
1	[ọ̀*à]	15886
1	[ọ̀*a]	15884
1	[ọ̀*ị]	15883
1	[kw*g]	15370
1	[ọ̄*ụ]	14872
1	[b*ch]	14382
1	[b*m]	14356
1	[b*j]	14354
1	[è*o]	13859
1	[è*h]	13830
1	[kp*h]	13318
1	[-kp]	13312
1	[ụ*è]	12315
1	[k*gb]	11313
1	[k*f]	11297
1	[k*m]	11284
1	[k*h]	11270
1	[ǹ*n]	10760
1	[-ǹ]	10752
1	[m*o]	10275
1	[m*kp]	10266
1	[m*h]	10246
1	[m*y]	10243
1	[ì*i]	9733
1	[j*b]	9244
1	[-j]	9216
1	[ụ̄*è]	8731
1	[ụ̄*a]	8716
1	[ụ̄*e]	8711
1	[-*a]	6668
1	[-*e]	6663
1	[--]	6656
1	[a*e]	6151
1	[ị*m̀]	5679
1	[ị*!]	5633
1	[g*w]	5136
1	[n*t]	4137
1	[-n]	4096
1	[e*O]	3674
1	[e*.]	3660
1	[h*nw]	3116
1	[h*k]	3094
1	[h*g]	3082
1	[i*a]	2572
1	[ā*i]	2053
1	[y*M]	1634
1	[y*sh]	1581
1	[+u]	50
1	[+z]	39
1	[+j]	18
1	[+n]	8

5.3999,7.0167	5.4543,7.0247
5	[è*e]	13831
5	[-à]	7168
5	[ā*a]	2060
4	[ụ̀*ụ]	7704
4	[à*a]	7180
3	[ù*u]	21554
3	[ọ̄*ọ]	14871
2	[ụ̄*ụ]	8728
2	[+n]	8
1	[-gh]	36864
1	[r̃*r]	34853
1	[r̃*w]	34832
1	[s*z]	33831
1	[kh*ny]	28708
1	[ī*u]	26162
1	[-ī]	26112
1	[gb*t]	25129
1	[ū*e]	24583
1	[m̀*!]	24065
1	[nw*O]	22618
1	[nw*Y]	22608
1	[nw*g]	22538
1	[ē*?]	22094
1	[ē*e]	22023
1	[ē*i]	22021
1	[t*gw]	21055
1	[l*kw]	20510
1	[ị̀*a]	19468
1	[r*ch]	18990
1	[r*sh]	18989
1	[ị̄*ị]	17419
1	[ị̄*i]	17413
1	[f*ch]	16942
1	[m̄*A]	16472
1	[ọ̀*a]	15884
1	[ọ̀*ị]	15883
1	[kw*s]	15426
1	[kw*k]	15382
1	[ọ̄*ụ]	14872
1	[-b]	14336
1	[è*o]	13859
1	[k*b]	11292
1	[k*g]	11274
1	[ǹ*n]	10760
1	[m*h]	10246
1	[ì*i]	9733
1	[ụ̄*e]	8711
1	[w*gb]	8241
1	[w*nw]	8236
1	[w*k]	8214
1	[à*o]	7203
1	[à*h]	7174
1	[à*i]	7173
1	[-*e]	6663
1	[-*i]	6661
1	[ị*Ọ]	5715
1	[g*kp]	5146
1	[n*b]	4124
1	[e*E]	3673
1	[e*.]	3660
1	[h*g]	3082
1	[-i]	2560
1	[ā*i]	2053
1	[+d]	25
1	[+m]	20

5.3999,7.0167	5.4829,7.0337
5	[-à]	7168
5	[a*à]	6158
3	[è*e]	13831
3	[ị*ị̀]	5670
3	[ā*a]	2060
2	[ī*ì]	26131
2	[b*h]	14342
2	[k*n]	11272
2	[k*h]	11270
2	[ụ̀*ụ]	7704
2	[à*ā]	7172
2	[-a]	6144
2	[h*g]	3082
2	[+à]	14
1	[gh*ǝ]	37022
1	[gw*b]	32284
1	[ò*̄]	31906
1	[-ò]	31744
1	[-p]	30720
1	[kh*ny]	28708
1	[kh*b]	28700
1	[ə*Ị]	27748
1	[ī*u]	26162
1	[ī*i]	26117
1	[u*ụ̀]	25615
1	[gb*m]	25108
1	[ū*kwh]	24742
1	[ū*e]	24583
1	[m̀*–]	24186
1	[ch*h̃]	23669
1	[ch*nw]	23596
1	[ch*g]	23562
1	[-ch]	23552
1	[nw*ò]	22590
1	[nw*à]	22542
1	[-nw]	22528
1	[ē*ī]	22067
1	[ē*u]	22066
1	[ē*è]	22043
1	[ē*-]	22029
1	[ē*e]	22023
1	[ù*u]	21554
1	[l*kw]	20510
1	[-l]	20480
1	[z*m]	19988
1	[ị̀*d]	19481
1	[ị̀*i]	19461
1	[r*sh]	18989
1	[r*y]	18947
1	[ny*ǹ]	18453
1	[ị̄*ī]	17459
1	[ị̄*ị]	17419
1	[ị̄*ā]	17412
1	[f*ch]	16942
1	[f*kp]	16922
1	[m̄*ā]	16388
1	[ọ̀*ə]	15926
1	[ọ̀*à]	15886
1	[ọ̀*a]	15884
1	[kw*ny]	15396
1	[kw*g]	15370
1	[ọ̄*ọ̀]	14879
1	[ọ̄*ọ]	14871
1	[ọ̄*a]	14860
1	[-ọ̄]	14848
1	[b*gw]	14399
1	[è*ī]	13875
1	[è*m̀]	13871
1	[è*nw]	13868
1	[è*ụ̄]	13841
1	[kp*f]	13345
1	[-kp]	13312
1	[d*gw]	12863
1	[ụ*ị̄]	12322
1	[ụ*è]	12315
1	[ụ*ụ̀]	12303
1	[ọ*ọ̄]	11805
1	[k*r̃]	11332
1	[k*kp]	11290
1	[k*m]	11284
1	[k*à]	11278
1	[k*y]	11267
1	[m*r̃]	10308
1	[m*à]	10254
1	[m*y]	10243
1	[-m]	10240
1	[ì*i]	9733
1	[j*zh]	9291
1	[ụ̄*ē]	8747
1	[ụ̄*ụ]	8728
1	[ụ̄*a]	8716
1	[w*e]	8199
1	[à*u]	7218
1	[à*nw]	7212
1	[à*ē]	7211
1	[à*m̄]	7200
1	[à*a]	7180
1	[à*e]	7175
1	[à*h]	7174
1	[-*e]	6663
1	[--]	6656
1	[a*ọ̀]	6175
1	[a*ọ]	6167
1	[a*ǹ]	6165
1	[a*g]	6154
1	[a*n]	6152
1	[a*ā]	6148
1	[ị*ē]	5675
1	[ị*ù]	5674
1	[g*kw]	5150
1	[g*kp]	5146
1	[g*w]	5136
1	[g*h]	5126
1	[n*n̄]	4166
1	[n*ụ]	4120
1	[n*à]	4110
1	[e*kh]	3640
1	[e*ị̀]	3622
1	[e*ny]	3620
1	[e*è]	3611
1	[e*ị]	3595
1	[h*hw]	3124
1	[h*ny]	3108
1	[h*k]	3094
1	[h*a]	3084
1	[-h]	3072
1	[i*ò]	2622
1	[i*ī]	2611
1	[i*è]	2587
1	[i*a]	2572
1	[i*ị]	2571
1	[ā*ū]	2096
1	[ā*ny]	2084
1	[y*sh]	1581
1	[+hw]	52
1	[+kp]	26
1	[+ọ]	23
1	[+j]	18
1	[+ụ̄]	17
1	[+ụ̀]	15

5.3999,7.0167	5.522,6.923
5	[a*à]	6158
3	[+l]	40
3	[+à]	14
2	[u*ụ̀]	25615
2	[è*e]	13831
2	[-kp]	13312
2	[k*b]	11292
2	[k*g]	11274
2	[k*h]	11270
2	[ụ̄*ụ]	8728
2	[w*e]	8199
2	[à*u]	7218
2	[à*a]	7180
2	[-à]	7168
2	[--]	6656
2	[a*n]	6152
2	[h*g]	3082
2	[i*ị]	2571
2	[ā*a]	2060
2	[+sh]	45
1	[-r̃]	34816
1	[s*gb]	33841
1	[ṭ*s]	33346
1	[ò*ə]	31798
1	[-p]	30720
1	[kh*ny]	28708
1	[ə*ị̀]	27686
1	[ī*u]	26162
1	[ī*ì]	26131
1	[-ī]	26112
1	[u*d]	25625
1	[u*e]	25607
1	[gb*à]	25102
1	[ū*ē]	24619
1	[ū*t]	24617
1	[m̀*ọ̄]	24093
1	[ch*kw]	23582
1	[ch*ị]	23563
1	[ch*g]	23562
1	[-sh]	23040
1	[nw*o]	22563
1	[nw*k]	22550
1	[-nw]	22528
1	[ē*ū]	22064
1	[ē*ọ̀]	22047
1	[ē*è]	22043
1	[ē*e]	22023
1	[ù*u]	21554
1	[l*t]	20521
1	[l*kw]	20510
1	[l*b]	20508
1	[l*j]	20498
1	[l*g]	20490
1	[-l]	20480
1	[z*m]	19988
1	[z*w]	19984
1	[ị̀*à]	19470
1	[r*è]	18971
1	[r*d]	18969
1	[r*h]	18950
1	[ny*ọ]	18455
1	[ny*-]	18445
1	[o*è]	17947
1	[o*e]	17927
1	[ị̄*ī]	17459
1	[ị̄*ị]	17419
1	[f*kp]	16922
1	[ọ̀*à]	15886
1	[ọ̀*a]	15884
1	[ọ̀*ị]	15883
1	[kw*d]	15385
1	[ọ̄*ọ]	14871
1	[-ọ̄]	14848
1	[b*ch]	14382
1	[b*h]	14342
1	[è*.]	13900
1	[è*ī]	13875
1	[è*u]	13874
1	[è*d]	13849
1	[è*ì]	13843
1	[kp*f]	13345
1	[ụ*ū]	12336
1	[ụ*ị̄]	12322
1	[ụ*è]	12315
1	[ụ*ụ̄]	12305
1	[ụ*ụ̀]	12303
1	[ọ*gw]	11839
1	[ọ*ị̄]	11810
1	[k*l]	11304
1	[k*m]	11284
1	[k*à]	11278
1	[-k]	11264
1	[m*gw]	10303
1	[m*)]	10299
1	[m*hw]	10292
1	[m*ch]	10286
1	[m*l]	10280
1	[m*g]	10250
1	[m*y]	10243
1	[ì*i]	9733
1	[j*zh]	9291
1	[j*y]	9219
1	[ụ̄*ē]	8747
1	[w*h]	8198
1	[ụ̀*ụ]	7704
1	[ụ̀*ā]	7684
1	[à*nw]	7212
1	[à*ē]	7211
1	[à*ọ]	7191
1	[à*-]	7181
1	[à*e]	7175
1	[à*ā]	7172
1	[-*e]	6663
1	[a*ù]	6186
1	[a*ọ]	6167
1	[a*ǹ]	6165
1	[a*ụ̀]	6159
1	[a*ā]	6148
1	[-a]	6144
1	[ị*ī]	5683
1	[ị*ị̀]	5670
1	[ị*ì]	5651
1	[ị*i]	5637
1	[ị*ā]	5636
1	[g*gh]	5192
1	[g*h]	5126
1	[g*y]	5123
1	[n*hw]	4148
1	[n*k]	4118
1	[n*m]	4116
1	[n*ì]	4115
1	[n*h]	4102
1	[e*ọ̀]	3615
1	[e*è]	3611
1	[e*j]	3602
1	[e*ụ̄]	3601
1	[e*à]	3598
1	[h*ny]	3108
1	[h*kw]	3102
1	[h*a]	3084
1	[-h]	3072
1	[i*ò]	2622
1	[i*ī]	2611
1	[i*o]	2595
1	[i*ọ]	2583
1	[i*a]	2572
1	[i*e]	2567
1	[ā*ny]	2084
1	[ā*n]	2056
1	[+kh]	56
1	[+u]	50
1	[+ē]	43
1	[+t]	41
1	[+ụ]	24
1	[+m]	20
1	[+a]	12
1	[+h]	6

5.3999,7.0167	5.5832,7.05
4	[a*à]	6158
3	[ā*a]	2060
2	[ī*ì]	26131
2	[ī*i]	26117
2	[u*ụ̀]	25615
2	[w*e]	8199
2	[-à]	7168
2	[--]	6656
2	[+à]	14
1	[gh*ny]	36900
1	[r̃*ụ̀]	34831
1	[-r̃]	34816
1	[ò*è]	31771
1	[-ò]	31744
1	[-p]	30720
1	[kh*l]	28712
1	[ə*ọ̄]	27677
1	[ō*u]	27186
1	[ī*u]	26162
1	[-ī]	26112
1	[u*m]	25620
1	[u*e]	25607
1	[ū*ù]	24618
1	[ū*j]	24594
1	[m̀*ọ̀]	24095
1	[ch*h̃]	23669
1	[ch*th]	23610
1	[-sh]	23040
1	[nw*k]	22550
1	[nw*ǹ]	22549
1	[-nw]	22528
1	[ē*-]	22029
1	[ē*e]	22023
1	[ù*u]	21554
1	[l*kw]	20510
1	[l*g]	20490
1	[z*w]	19984
1	[ị̀*ụ̀]	19471
1	[ị̀*à]	19470
1	[ị̀*ị]	19467
1	[r*ry]	19096
1	[r*r̃]	19012
1	[r*sh]	18989
1	[r*b]	18972
1	[r*h]	18950
1	[r*y]	18947
1	[ny*-]	18445
1	[ny*n]	18440
1	[o*ō]	17973
1	[o*è]	17947
1	[o*e]	17927
1	[ị̄*ī]	17459
1	[ị̄*ị]	17419
